YEAR	C0025033	C0027972	
1946	17	1	
1947	26	3	
1948	52	4	
1949	51	4	
1950	87	0	
1951	81	4	
1952	82	2	
1953	74	0	
1954	52	1	
1955	41	3	
1956	37	1	
1957	51	2	
1958	66	0	
1959	41	1	
1960	72	2	
1961	74	3	
1962	64	3	
1963	60	3	
1964	68	5	
1965	44	7	
1966	23	5	
1967	21	6	
1968	33	4	
1969	18	6	
1970	25	1	
1971	16	4	
1972	16	8	
1973	26	8	
1974	17	8	
1975	102	3	
1976	75	23	
1977	54	25	
1978	82	23	
1979	79	26	
1980	87	29	
1981	79	23	
1982	107	31	
1983	94	26	
1984	144	27	
1985	106	29	
1986	144	43	
1987	156	49	
1988	118	60	
1989	87	59	
1990	94	62	
1991	117	52	
1992	106	60	
1993	91	58	
1994	122	74	
1995	121	66	
1996	79	89	
1997	91	83	
1998	92	89	
1999	92	81	
2000	115	64	
2001	42	54	
2002	34	91	
2003	53	108	
2004	41	99	
2005	75	187	
2006	123	171	
2007	89	114	
2008	62	157	
2009	58	184	
2010	50	110	
2011	144	194	
2012	53	138	
2013	169	180	
2014	295	282	
2015	398	172	
2016	250	217	
2017	56	237	
2018	185	45	
