YEAR	C0005821	C0032181	
1945	2	3	
1946	15	2	
1947	22	1	
1948	28	4	
1949	25	5	
1950	46	8	
1951	62	4	
1952	86	2	
1953	81	4	
1954	109	2	
1955	144	8	
1956	129	7	
1957	133	6	
1958	204	10	
1959	140	9	
1960	167	4	
1961	246	5	
1962	181	4	
1963	234	14	
1964	280	24	
1965	294	8	
1966	347	0	
1967	456	0	
1968	617	1	
1969	775	0	
1970	687	0	
1971	790	4	
1972	889	0	
1973	855	0	
1974	980	1	
1975	2936	7	
1976	3182	0	
1977	3187	0	
1978	3303	25	
1979	3669	253	
1980	4006	887	
1981	4836	928	
1982	5266	1043	
1983	6301	1071	
1984	7025	1316	
1985	8109	1327	
1986	7748	1283	
1987	7455	1353	
1988	7396	1345	
1989	7920	1428	
1990	8042	1712	
1991	7393	1461	
1992	7510	1519	
1993	7571	1738	
1994	6816	1556	
1995	6580	1589	
1996	6117	1448	
1997	6303	1573	
1998	6511	1750	
1999	7319	1590	
2000	6649	1755	
2001	6199	1824	
2002	6799	1746	
2003	7801	1703	
2004	6713	1631	
2005	7169	1870	
2006	6610	2202	
2007	7788	1844	
2008	8963	2211	
2009	10243	2001	
2010	11489	2694	
2011	12222	2946	
2012	14449	3431	
2013	21132	4285	
2014	22732	4575	
2015	29182	5969	
2016	26953	5959	
2017	26329	5986	
2018	7392	2659	
