YEAR	C0851346	C1522449	
1945	13	0	
1946	77	20	
1947	86	16	
1948	86	23	
1949	107	13	
1950	167	60	
1951	237	118	
1952	235	170	
1953	255	263	
1954	305	346	
1955	316	368	
1956	421	401	
1957	457	357	
1958	556	303	
1959	451	249	
1960	241	112	
1961	245	115	
1962	278	244	
1963	199	176	
1964	231	108	
1965	80	100	
1966	35	138	
1967	72	157	
1968	77	233	
1969	58	207	
1970	39	203	
1971	41	202	
1972	45	237	
1973	39	223	
1974	46	271	
1975	49	855	
1976	22	905	
1977	18	793	
1978	13	573	
1979	57	695	
1980	27	721	
1981	28	701	
1982	29	767	
1983	23	1006	
1984	33	978	
1985	140	1009	
1986	74	1179	
1987	57	1088	
1988	66	1077	
1989	142	1274	
1990	72	1760	
1991	104	1632	
1992	80	1812	
1993	60	1943	
1994	43	1864	
1995	80	2293	
1996	63	2175	
1997	65	1887	
1998	43	2078	
1999	68	2013	
2000	82	1920	
2001	88	2477	
2002	157	2809	
2003	182	3415	
2004	254	3095	
2005	202	3649	
2006	245	4549	
2007	256	4516	
2008	365	4481	
2009	442	5531	
2010	411	5913	
2011	189	7234	
2012	503	6568	
2013	757	8261	
2014	892	8227	
2015	952	9595	
2016	1423	11526	
2017	881	10118	
2018	617	4050	
