YEAR	C0038160	C0038170	
1945	2	13	
1946	8	48	
1947	6	50	
1948	5	40	
1949	5	44	
1950	8	57	
1951	13	56	
1952	16	48	
1953	15	56	
1954	25	59	
1955	27	70	
1956	66	73	
1957	41	103	
1958	83	119	
1959	84	163	
1960	113	255	
1961	138	303	
1962	109	323	
1963	101	397	
1964	90	390	
1965	87	381	
1966	66	308	
1967	81	354	
1968	55	438	
1969	40	413	
1970	38	359	
1971	61	409	
1972	43	466	
1973	47	477	
1974	38	483	
1975	64	569	
1976	63	295	
1977	68	190	
1978	96	287	
1979	81	229	
1980	85	278	
1981	70	218	
1982	79	273	
1983	102	328	
1984	94	328	
1985	81	314	
1986	83	279	
1987	110	322	
1988	54	314	
1989	100	392	
1990	73	439	
1991	101	482	
1992	54	387	
1993	65	329	
1994	68	419	
1995	110	456	
1996	65	402	
1997	91	354	
1998	52	443	
1999	80	416	
2000	66	394	
2001	77	383	
2002	79	403	
2003	72	405	
2004	81	463	
2005	86	525	
2006	137	558	
2007	119	594	
2008	154	598	
2009	164	644	
2010	291	786	
2011	239	749	
2012	242	1261	
2013	351	1238	
2014	287	1381	
2015	230	1164	
2016	462	1270	
2017	298	1415	
2018	111	574	
