YEAR	C0017375	C0039341	C0039756	
1975	0	0	19	
1976	0	0	13	
1977	0	0	22	
1978	0	0	4	
1979	0	0	11	
1980	0	0	5	
1981	0	0	4	
1982	0	0	4	
1983	0	0	12	
1984	0	0	4	
1985	0	2	21	
1986	0	6	8	
1987	0	21	5	
1988	0	105	7	
1989	15	151	9	
1990	114	367	30	
1991	90	406	6	
1992	162	351	16	
1993	162	637	5	
1994	192	511	7	
1995	162	707	4	
1996	101	776	3	
1997	93	727	7	
1998	81	770	8	
1999	79	926	7	
2000	62	754	13	
2001	81	925	20	
2002	36	1183	8	
2003	66	1108	5	
2004	56	1177	3	
2005	70	3044	3	
2006	102	2742	6	
2007	28	2082	8	
2008	102	700	4	
2009	36	965	0	
2010	29	270	15	
2011	121	869	1	
2012	121	483	12	
2013	18	872	2	
2014	29	1103	7	
2015	3	938	5	
2016	0	417	5	
2017	3	598	17	
2018	0	308	0	
