YEAR	C0040079	C0041041	
1970	0	8	
1971	0	55	
1972	0	156	
1973	0	239	
1974	0	149	
1975	4	296	
1976	34	260	
1977	17	240	
1978	10	244	
1979	24	443	
1980	6	408	
1981	12	455	
1982	33	716	
1983	11	557	
1984	23	530	
1985	18	443	
1986	30	459	
1987	11	570	
1988	18	467	
1989	24	333	
1990	8	216	
1991	9	191	
1992	6	164	
1993	10	185	
1994	19	193	
1995	10	152	
1996	14	268	
1997	13	176	
1998	4	149	
1999	2	144	
2000	28	130	
2001	23	131	
2002	20	139	
2003	19	76	
2004	16	208	
2005	19	167	
2006	21	113	
2007	13	125	
2008	14	108	
2009	33	233	
2010	14	290	
2011	8	378	
2012	13	513	
2013	15	225	
2014	127	377	
2015	46	347	
2016	49	576	
2017	76	1014	
2018	0	155	
