WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
CCl4	1	C0007022	0	1946
CCl4	1	C0209338	1	1991
Cold	1	C0009264	0	1945
Cold	1	C0009443	0	1945
Cold	1	C0024117	1	1959
GAG	1	C0017973	0	1949
GAG	1	C0017346	1	1982
Pharmaceutical	1	C0031336	0	1945
Pharmaceutical	1	C0013058	1	1963
CAM	1	C0007578	0	1981
CAM	1	C0178551	1	2003
Language	1	C0023008	0	1946
Language	1	C0033348	1	1958
EMS	1	C0013961	0	1967
EMS	1	C0015063	1	1975
TNC	1	C0077400	0	1980
TNC	1	C0076088	1	1985
EM	1	C0026019	0	1946
EM	1	C0014921	1	1975
CIS	1	C0007099	0	1972
CIS	1	C0162854	1	1992
CDR	1	C0011485	0	1973
CDR	1	C0021024	1	1998
rDNA	1	C0012931	0	1976
rDNA	1	C0012933	1	1981
OCD	1	C0028768	0	1975
OCD	1	C0029421	1	1984
PCA	1	C0030625	0	1957
PCA	1	C0149576	0	1957
PCA	1	C0429865	0	1960
PCA	1	C0030131	1	1974
PCA	1	C0078944	1	1989
Schistosoma mansoni	1	C0036319	0	1971
Schistosoma mansoni	1	C0036330	1	1977
HPS	1	C0242994	0	1994
HPS	1	C0079504	1	2000
Epi	1	C0014563	0	1945
Epi	1	C0014582	1	1980
Tax	1	C0039371	0	1975
Tax	1	C0144576	1	1983
HCl	1	C0020259	0	1946
HCl	1	C0023443	1	1954
PEP	1	C0031642	0	1971
PEP	1	C0135981	1	1980
TPA	1	C0039654	0	1975
TPA	1	C0032143	1	1982
Eels	1	C0013671	0	1951
Eels	1	C0677644	1	2004
NPC	1	C0028587	0	1998
NPC	1	C0220756	1	2006
DON	1	C0012020	0	1975
DON	1	C0028652	1	1981
CTX	1	C0010583	0	1960
CTX	1	C0238052	1	1974
PAC	1	C0033036	0	1995
PAC	1	C0949780	1	2001
BLM	1	C0005740	0	1971
BLM	1	C0005859	1	1981
POL	1	C0032356	0	1946
POL	1	C0017360	1	1989
TRF	1	C0040162	0	1968
TRF	1	C0021759	1	1980
dC	1	C0012764	0	1966
dC	1	C0011485	1	1973
PVC	1	C0032624	0	1974
PVC	1	C0151636	1	1988
lens	1	C0023317	0	1945
lens	1	C0023318	0	1945
lens	1	C0023308	1	1952
SS	1	C0039101	0	1948
SS	1	C0085077	1	1964
WT1	1	C0027708	0	1946
WT1	1	C0148873	1	1991
MAF	1	C0079786	0	1980
MAF	1	C0919482	1	1998
MRS	1	C0025235	0	1950
MRS	1	C0024487	1	1961
Ice	1	C0020746	0	1946
Ice	1	C0025611	0	1946
Ice	1	C0534519	1	1991
Fish	1	C0016163	0	1945
Fish	1	C0162789	1	1953
RSV	1	C0086943	0	1955
RSV	1	C0035236	1	1960
DDS	1	C0010980	0	1960
DDS	1	C0085104	1	1990
DDS	1	C0950121	1	2001
NBS	1	C0027819	0	1947
NBS	1	C0398791	1	2002
PR	1	C0034044	0	1945
PR	1	C0034833	1	1973
MBP	1	C0014063	0	1973
MBP	1	C0065661	1	1984
FTC	1	C0041713	0	1982
FTC	1	C0206682	1	1993
ERP	1	C0015214	0	1956
ERP	1	C0008310	1	1978
Wasp	1	C0043041	0	1975
Wasp	1	C0258432	1	1994
INDO	1	C0021247	0	1949
INDO	1	C0021246	1	1963
Ala	1	C0001898	0	1947
Ala	1	C0051405	0	1947
Ala	1	C0002563	1	1953
PCD	1	C0022521	0	1971
PCD	1	C0162638	1	1991
ALS	1	C0002736	0	1948
ALS	1	C0003372	1	1968
MHC	1	C0024518	0	1978
MHC	1	C0027100	1	1986
SLS	1	C0037506	0	1971
SLS	1	C0037231	1	1991
Cell	1	C0007634	0	1969
Cell	1	C1136359	1	1999
cRNA	1	C1321571	0	1975
cRNA	1	C0056208	1	1982
SPR	1	C0164209	0	1981
SPR	1	C0597731	1	1998
WBS	1	C0004903	0	1982
WBS	1	C0175702	1	1995
Cortex	1	C0007776	0	1945
Cortex	1	C0001614	1	1950
TMP	1	C0041041	0	1970
TMP	1	C0040079	1	1975
veterinary	1	C0042615	0	1945
veterinary	1	C0206212	1	1963
TAT	1	C0039756	0	1975
TAT	1	C0039341	1	1985
TAT	1	C0017375	1	1989
DAT	1	C0002395	0	1974
DAT	1	C0114838	1	1989
CLS	1	C0343084	0	1996
CLS	1	C0265252	1	2002
DBA	1	C0025923	0	1972
DBA	1	C1260899	1	2001
