PCP(2)(1972TO2018)	C0030855(1972)	C0031381(1972)	
C0030855(1972)	0	0	
C0031381(1972)	0	0	
CCl4(2)(1946TO2018)	C0007022(1946)	C0209338(1991)	
C0007022(1946)	0	45	
C0209338(1991)	45	0	
Cold(3)(1945TO2018)	C0009264(1945)	C0009443(1945)	C0024117(1959)	
C0009264(1945)	0	0	14	
C0009443(1945)	0	0	14	
C0024117(1959)	14	14	0	
PCB(2)(1971TO2018)	C0032447(1971)	C0033223(1971)	
C0032447(1971)	0	0	
C0033223(1971)	0	0	
Yellow Fever(2)(1945TO2018)	C0043395(1945)	C0301508(1945)	
C0043395(1945)	0	0	
C0301508(1945)	0	0	
CCD(2)(1965TO2018)	C0008928(1965)	C0751951(1965)	
C0008928(1965)	0	0	
C0751951(1965)	0	0	
BSA(2)(1952TO2018)	C0005902(1952)	C0036774(1952)	
C0005902(1952)	0	0	
C0036774(1952)	0	0	
GAG(2)(1949TO2018)	C0017973(1949)	C0017346(1982)	
C0017973(1949)	0	33	
C0017346(1982)	33	0	
Pharmaceutical(2)(1945TO2018)	C0031336(1945)	C0013058(1963)	
C0031336(1945)	0	18	
C0013058(1963)	18	0	
ERUPTION(2)(1945TO2018)	C0015230(1945)	C1533692(1945)	
C0015230(1945)	0	0	
C1533692(1945)	0	0	
CAM(2)(1981TO2018)	C0007578(1981)	C0178551(2003)	
C0007578(1981)	0	22	
C0178551(2003)	22	0	
Exercises(2)(1945TO2018)	C0015259(1945)	C0452240(1945)	
C0015259(1945)	0	0	
C0452240(1945)	0	0	
Language(2)(1946TO2018)	C0023008(1946)	C0033348(1958)	
C0023008(1946)	0	12	
C0033348(1958)	12	0	
EMS(2)(1967TO2018)	C0013961(1967)	C0015063(1975)	
C0013961(1967)	0	8	
C0015063(1975)	8	0	
TNC(2)(1980TO2018)	C0077400(1980)	C0076088(1985)	
C0077400(1980)	0	5	
C0076088(1985)	5	0	
SCD(2)(1946TO2018)	C0002895(1946)	C0085298(1950)	
C0002895(1946)	0	4	
C0085298(1950)	4	0	
Synapsis(2)(1950TO2018)	C0039062(1950)	C0598501(1951)	
C0039062(1950)	0	1	
C0598501(1951)	1	0	
EM(2)(1946TO2018)	C0026019(1946)	C0014921(1975)	
C0026019(1946)	0	29	
C0014921(1975)	29	0	
Sodium(2)(1945TO2018)	C0037473(1945)	C0037570(1945)	
C0037473(1945)	0	0	
C0037570(1945)	0	0	
TNT(2)(1981TO2018)	C0077404(1981)	C0041070(1982)	
C0077404(1981)	0	1	
C0041070(1982)	1	0	
BR(2)(1946TO2018)	C0006137(1946)	C0006222(1946)	
C0006137(1946)	0	0	
C0006222(1946)	0	0	
Plague(2)(1945TO2018)	C0032064(1945)	C0032066(1946)	
C0032064(1945)	0	1	
C0032066(1946)	1	0	
Cilia(2)(1950TO2018)	C0008778(1950)	C0015422(1950)	
C0008778(1950)	0	0	
C0015422(1950)	0	0	
DI(2)(1946TO2018)	C0011848(1946)	C0032246(1946)	
C0011848(1946)	0	0	
C0032246(1946)	0	0	
Radiation(2)(1945TO2018)	C0851346(1945)	C1522449(1946)	
C0851346(1945)	0	1	
C1522449(1946)	1	0	
CP(3)(1946TO2018)	C0007789(1946)	C0008925(1946)	C0033477(1946)	
C0007789(1946)	0	0	0	
C0008925(1946)	0	0	0	
C0033477(1946)	0	0	0	
CIS(2)(1972TO2018)	C0007099(1972)	C0162854(1992)	
C0007099(1972)	0	20	
C0162854(1992)	20	0	
PHA(2)(1975TO2018)	C0031858(1975)	C0030779(1976)	
C0031858(1975)	0	1	
C0030779(1976)	1	0	
IP(2)(1986TO2018)	C0021171(1986)	C0021069(1989)	
C0021171(1986)	0	3	
C0021069(1989)	3	0	
Leishmaniasis(2)(1945TO2018)	C0023281(1945)	C1548483(1947)	
C0023281(1945)	0	2	
C1548483(1947)	2	0	
CDR(2)(1973TO2018)	C0011485(1973)	C0021024(1998)	
C0011485(1973)	0	25	
C0021024(1998)	25	0	
Platelet(2)(1945TO2018)	C0005821(1945)	C0032181(1945)	
C0005821(1945)	0	0	
C0032181(1945)	0	0	
Crack(2)(1986TO2018)	C0040441(1986)	C0085163(1990)	
C0040441(1986)	0	4	
C0085163(1990)	4	0	
RA(3)(1945TO2018)	C0003873(1945)	C0034625(1945)	C0002893(1946)	
C0003873(1945)	0	0	1	
C0034625(1945)	0	0	1	
C0002893(1946)	1	1	0	
Nurse(2)(1945TO2018)	C0006147(1945)	C0028661(1945)	
C0006147(1945)	0	0	
C0028661(1945)	0	0	
Lactation(2)(1945TO2018)	C0006147(1945)	C0022925(1945)	
C0006147(1945)	0	0	
C0022925(1945)	0	0	
IA(2)(1946TO2018)	C0021487(1946)	C0022037(1946)	
C0021487(1946)	0	0	
C0022037(1946)	0	0	
Haemophilus ducreyi(2)(1977TO2018)	C0007947(1977)	C0018481(1978)	
C0007947(1977)	0	1	
C0018481(1978)	1	0	
rDNA(2)(1976TO2018)	C0012931(1976)	C0012933(1981)	
C0012931(1976)	0	5	
C0012933(1981)	5	0	
Strep(2)(1945TO2018)	C0038395(1945)	C0038402(1945)	
C0038395(1945)	0	0	
C0038402(1945)	0	0	
CDA(2)(1979TO2018)	C0002876(1979)	C0092801(1983)	
C0002876(1979)	0	4	
C0092801(1983)	4	0	
HIV(2)(1985TO2018)	C0019682(1985)	C0019693(1987)	
C0019682(1985)	0	2	
C0019693(1987)	2	0	
OH(2)(1946TO2018)	C0028905(1946)	C0063146(1946)	
C0028905(1946)	0	0	
C0063146(1946)	0	0	
lymphogranulomatosis(2)(1945TO2018)	C0019829(1945)	C0036202(1945)	
C0019829(1945)	0	0	
C0036202(1945)	0	0	
TEM(2)(2002TO2018)	C0678118(2002)	C0040975(2004)	
C0678118(2002)	0	2	
C0040975(2004)	2	0	
OCD(2)(1975TO2018)	C0028768(1975)	C0029421(1984)	
C0028768(1975)	0	9	
C0029421(1984)	9	0	
PCA(5)(1957TO2018)	C0030625(1957)	C0149576(1957)	C0429865(1960)	C0030131(1974)	C0078944(1989)	
C0030625(1957)	0	0	3	17	32	
C0149576(1957)	0	0	3	17	32	
C0429865(1960)	3	3	0	14	29	
C0030131(1974)	17	17	14	0	15	
C0078944(1989)	32	32	29	15	0	
Schistosoma mansoni(2)(1971TO2018)	C0036319(1971)	C0036330(1977)	
C0036319(1971)	0	6	
C0036330(1977)	6	0	
HPS(2)(1994TO2018)	C0242994(1994)	C0079504(2000)	
C0242994(1994)	0	6	
C0079504(2000)	6	0	
Staph(2)(1945TO2018)	C0038160(1945)	C0038170(1945)	
C0038160(1945)	0	0	
C0038170(1945)	0	0	
LABOR(2)(1945TO2018)	C0022864(1945)	C0043227(1945)	
C0022864(1945)	0	0	
C0043227(1945)	0	0	
CH(2)(1946TO2018)	C0008115(1946)	C0039021(1946)	
C0008115(1946)	0	0	
C0039021(1946)	0	0	
Epi(2)(1945TO2018)	C0014563(1945)	C0014582(1980)	
C0014563(1945)	0	35	
C0014582(1980)	35	0	
Borrelia(2)(1979TO2018)	C0006033(1979)	C0024198(1983)	
C0006033(1979)	0	4	
C0024198(1983)	4	0	
Tax(2)(1975TO2018)	C0039371(1975)	C0144576(1983)	
C0039371(1975)	0	8	
C0144576(1983)	8	0	
Follicle(2)(1949TO2018)	C0018120(1949)	C0221971(1949)	
C0018120(1949)	0	0	
C0221971(1949)	0	0	
HCl(2)(1946TO2018)	C0020259(1946)	C0023443(1954)	
C0020259(1946)	0	8	
C0023443(1954)	8	0	
Gas(2)(1945TO2018)	C0016204(1945)	C0017110(1945)	
C0016204(1945)	0	0	
C0017110(1945)	0	0	
PEP(2)(1971TO2018)	C0031642(1971)	C0135981(1980)	
C0031642(1971)	0	9	
C0135981(1980)	9	0	
Torula(2)(1945TO2018)	C0010414(1945)	C0010415(1945)	
C0010414(1945)	0	0	
C0010415(1945)	0	0	
TPA(2)(1975TO2018)	C0039654(1975)	C0032143(1982)	
C0039654(1975)	0	7	
C0032143(1982)	7	0	
Eels(2)(1951TO2018)	C0013671(1951)	C0677644(2004)	
C0013671(1951)	0	53	
C0677644(2004)	53	0	
Fe(2)(1945TO2018)	C0302583(1945)	C0376520(1946)	
C0302583(1945)	0	1	
C0376520(1946)	1	0	
Phosphorus(2)(1945TO2018)	C0031705(1945)	C0080014(1945)	
C0031705(1945)	0	0	
C0080014(1945)	0	0	
HR(2)(1947TO2018)	C0018810(1947)	C0010343(1950)	
C0018810(1947)	0	3	
C0010343(1950)	3	0	
pI(2)(1975TO2018)	C0022171(1975)	C0812425(1975)	
C0022171(1975)	0	0	
C0812425(1975)	0	0	
Cortical(3)(1945TO2018)	C0001613(1945)	C0007776(1945)	C0022655(1947)	
C0001613(1945)	0	0	2	
C0007776(1945)	0	0	2	
C0022655(1947)	2	2	0	
NPC(2)(1998TO2018)	C0028587(1998)	C0220756(2006)	
C0028587(1998)	0	8	
C0220756(2006)	8	0	
DON(2)(1975TO2018)	C0012020(1975)	C0028652(1981)	
C0012020(1975)	0	6	
C0028652(1981)	6	0	
CTX(2)(1960TO2018)	C0010583(1960)	C0238052(1974)	
C0010583(1960)	0	14	
C0238052(1974)	14	0	
PAC(2)(1995TO2018)	C0033036(1995)	C0949780(2001)	
C0033036(1995)	0	6	
C0949780(2001)	6	0	
BLM(2)(1971TO2018)	C0005740(1971)	C0005859(1981)	
C0005740(1971)	0	10	
C0005859(1981)	10	0	
NEUROFIBROMATOSIS(2)(1990TO2018)	C0085113(1990)	C0162678(1991)	
C0085113(1990)	0	1	
C0162678(1991)	1	0	
POL(2)(1946TO2018)	C0032356(1946)	C0017360(1989)	
C0032356(1946)	0	43	
C0017360(1989)	43	0	
Moles(2)(1946TO2018)	C0027960(1946)	C0324740(1946)	
C0027960(1946)	0	0	
C0324740(1946)	0	0	
SARS(2)(2002TO2018)	C1175175(2002)	C1175743(2002)	
C1175175(2002)	0	0	
C1175743(2002)	0	0	
TSF(2)(1974TO2018)	C0040052(1974)	C0021756(1977)	
C0040052(1974)	0	3	
C0021756(1977)	3	0	
Callus(2)(1972TO2018)	C0006767(1972)	C0376154(1972)	
C0006767(1972)	0	0	
C0376154(1972)	0	0	
Cholera(2)(1945TO2018)	C0008354(1945)	C0008359(1946)	
C0008354(1945)	0	1	
C0008359(1946)	1	0	
Follicles(2)(1949TO2018)	C0018120(1949)	C0221971(1949)	
C0018120(1949)	0	0	
C0221971(1949)	0	0	
Laryngeal(2)(1945TO2018)	C0023078(1945)	C0023081(1945)	
C0023078(1945)	0	0	
C0023081(1945)	0	0	
Orf(2)(1980TO2018)	C0013570(1980)	C0079941(1982)	
C0013570(1980)	0	2	
C0079941(1982)	2	0	
TRF(2)(1968TO2018)	C0040162(1968)	C0021759(1980)	
C0040162(1968)	0	12	
C0021759(1980)	12	0	
Retinal(2)(1945TO2018)	C0035298(1945)	C0035331(1945)	
C0035298(1945)	0	0	
C0035331(1945)	0	0	
ADP(2)(1956TO2018)	C0001459(1956)	C0004374(1959)	
C0001459(1956)	0	3	
C0004374(1959)	3	0	
dC(2)(1966TO2018)	C0012764(1966)	C0011485(1973)	
C0012764(1966)	0	7	
C0011485(1973)	7	0	
Brucella abortus(2)(1946TO2018)	C0006304(1946)	C0302363(1946)	
C0006304(1946)	0	0	
C0302363(1946)	0	0	
PVC(2)(1974TO2018)	C0032624(1974)	C0151636(1988)	
C0032624(1974)	0	14	
C0151636(1988)	14	0	
lens(3)(1945TO2018)	C0023317(1945)	C0023318(1945)	C0023308(1952)	
C0023317(1945)	0	0	7	
C0023318(1945)	0	0	7	
C0023308(1952)	7	7	0	
Respiration(2)(1945TO2018)	C0035203(1945)	C0282636(1945)	
C0035203(1945)	0	0	
C0282636(1945)	0	0	
tomography(2)(1947TO2018)	C0040395(1947)	C0040405(1947)	
C0040395(1947)	0	0	
C0040405(1947)	0	0	
ADA(2)(1955TO2018)	C0001457(1955)	C0002456(1955)	
C0001457(1955)	0	0	
C0002456(1955)	0	0	
STEM(2)(1992TO2018)	C0162731(1992)	C0242767(1994)	
C0162731(1992)	0	2	
C0242767(1994)	2	0	
MCC(2)(1988TO2018)	C0007129(1988)	C0162804(1991)	
C0007129(1988)	0	3	
C0162804(1991)	3	0	
SS(2)(1948TO2018)	C0039101(1948)	C0085077(1964)	
C0039101(1948)	0	16	
C0085077(1964)	16	0	
CRF(2)(1954TO2018)	C0022661(1954)	C0010132(1956)	
C0022661(1954)	0	2	
C0010132(1956)	2	0	
Tolerance(2)(1946TO2018)	C0013220(1946)	C0020963(1946)	
C0013220(1946)	0	0	
C0020963(1946)	0	0	
WT1(2)(1946TO2018)	C0027708(1946)	C0148873(1991)	
C0027708(1946)	0	45	
C0148873(1991)	45	0	
AA(2)(1945TO2018)	C0002520(1945)	C0001972(1947)	
C0002520(1945)	0	2	
C0001972(1947)	2	0	
Digestive(2)(1945TO2018)	C0012238(1945)	C0012240(1945)	
C0012238(1945)	0	0	
