YEAR	C0002736	C0003372	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	0.325581	0.674419	
1969	0.149485	0.850515	
1970	0.176471	0.823529	
1971	0.185930	0.814070	
1972	0.240000	0.760000	
1973	0.222222	0.777778	
1974	0.415842	0.584158	
1975	0.338235	0.661765	
1976	0.309333	0.690667	
1977	0.404762	0.595238	
1978	0.522449	0.477551	
1979	0.504918	0.495082	
1980	0.573913	0.426087	
1981	0.648649	0.351351	
1982	0.739130	0.260870	
1983	0.626230	0.373770	
1984	0.692053	0.307947	
1985	0.672269	0.327731	
1986	0.725490	0.274510	
1987	0.789366	0.210634	
1988	0.662469	0.337531	
1989	0.710526	0.289474	
1990	0.794715	0.205285	
1991	0.791789	0.208211	
1992	0.741732	0.258268	
1993	0.850267	0.149733	
1994	0.900978	0.099022	
1995	0.903080	0.096920	
1996	0.924126	0.075874	
1997	0.944139	0.055861	
1998	0.943330	0.056670	
1999	0.964413	0.035587	
2000	0.968182	0.031818	
2001	0.981536	0.018464	
2002	0.967969	0.032031	
2003	0.962753	0.037247	
2004	0.969565	0.030435	
2005	0.977273	0.022727	
2006	0.980499	0.019501	
2007	0.993819	0.006181	
2008	0.990685	0.009315	
2009	0.994900	0.005100	
2010	0.998847	0.001153	
2011	0.991573	0.008427	
2012	0.997999	0.002001	
2013	0.996722	0.003278	
2014	0.999135	0.000865	
2015	0.998704	0.001296	
2016	0.999139	0.000861	
2017	0.999813	0.000187	
2018	0.998281	0.001719	
