YEAR	C0005740	C0005859	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	0.937879	0.062121	
1982	0.942285	0.057715	
1983	0.929924	0.070076	
1984	0.922921	0.077079	
1985	0.942748	0.057252	
1986	0.923611	0.076389	
1987	0.890023	0.109977	
1988	0.909457	0.090543	
1989	0.919201	0.080799	
1990	0.926443	0.073557	
1991	0.923871	0.076129	
1992	0.936298	0.063702	
1993	0.905830	0.094170	
1994	0.924906	0.075094	
1995	0.904199	0.095801	
1996	0.882775	0.117225	
1997	0.915802	0.084198	
1998	0.852594	0.147406	
1999	0.813333	0.186667	
2000	0.783925	0.216075	
2001	0.587734	0.412266	
2002	0.853862	0.146138	
2003	0.624318	0.375682	
2004	0.642796	0.357204	
2005	0.935065	0.064935	
2006	0.792962	0.207038	
2007	0.702097	0.297903	
2008	0.911787	0.088213	
2009	0.951376	0.048624	
2010	0.893042	0.106958	
2011	0.950586	0.049414	
2012	0.925780	0.074220	
2013	0.983391	0.016609	
2014	0.931971	0.068029	
2015	0.923761	0.076239	
2016	0.876840	0.123160	
2017	0.918350	0.081650	
2018	0.935115	0.064885	
