YEAR	C0025923	C1260899	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	0.964286	0.035714	
2002	0.540230	0.459770	
2003	0.432990	0.567010	
2004	0.618705	0.381295	
2005	0.493151	0.506849	
2006	0.429348	0.570652	
2007	0.571429	0.428571	
2008	0.298592	0.701408	
2009	0.147059	0.852941	
2010	0.386207	0.613793	
2011	0.284916	0.715084	
2012	0.396437	0.603563	
2013	0.665399	0.334601	
2014	0.175487	0.824513	
2015	0.469945	0.530055	
2016	0.501071	0.498929	
2017	0.747801	0.252199	
2018	0.200000	0.800000	
