YEAR	C0010980	C0085104	C0950121	
1960	1.000000	0.000000	0.000000	
1961	1.000000	0.000000	0.000000	
1962	1.000000	0.000000	0.000000	
1963	1.000000	0.000000	0.000000	
1964	1.000000	0.000000	0.000000	
1965	1.000000	0.000000	0.000000	
1966	1.000000	0.000000	0.000000	
1967	1.000000	0.000000	0.000000	
1968	1.000000	0.000000	0.000000	
1969	1.000000	0.000000	0.000000	
1970	1.000000	0.000000	0.000000	
1971	1.000000	0.000000	0.000000	
1972	1.000000	0.000000	0.000000	
1973	1.000000	0.000000	0.000000	
1974	1.000000	0.000000	0.000000	
1975	1.000000	0.000000	0.000000	
1976	1.000000	0.000000	0.000000	
1977	1.000000	0.000000	0.000000	
1978	1.000000	0.000000	0.000000	
1979	1.000000	0.000000	0.000000	
1980	1.000000	0.000000	0.000000	
1981	1.000000	0.000000	0.000000	
1982	1.000000	0.000000	0.000000	
1983	1.000000	0.000000	0.000000	
1984	1.000000	0.000000	0.000000	
1985	1.000000	0.000000	0.000000	
1986	1.000000	0.000000	0.000000	
1987	1.000000	0.000000	0.000000	
1988	1.000000	0.000000	0.000000	
1989	1.000000	0.000000	0.000000	
1990	0.938967	0.061033	0.000000	
1991	0.813636	0.186364	0.000000	
1992	0.643333	0.356667	0.000000	
1993	0.752976	0.247024	0.000000	
1994	0.643006	0.356994	0.000000	
1995	0.561587	0.438413	0.000000	
1996	0.535885	0.464115	0.000000	
1997	0.540984	0.459016	0.000000	
1998	0.313305	0.686695	0.000000	
1999	0.380000	0.620000	0.000000	
2000	0.247573	0.752427	0.000000	
2001	0.261845	0.733167	0.004988	
2002	0.185311	0.804520	0.010169	
2003	0.193402	0.782708	0.023891	
2004	0.156195	0.826353	0.017452	
2005	0.140835	0.825195	0.033970	
2006	0.094659	0.896552	0.008790	
2007	0.076831	0.901561	0.021609	
2008	0.113043	0.878744	0.008213	
2009	0.082402	0.915114	0.002484	
2010	0.058520	0.934251	0.007229	
2011	0.068195	0.924928	0.006877	
2012	0.067164	0.928871	0.003965	
2013	0.112048	0.884739	0.003213	
2014	0.050419	0.945967	0.003615	
2015	0.042878	0.957122	0.000000	
2016	0.055720	0.940502	0.003778	
2017	0.060150	0.936288	0.003562	
2018	0.020610	0.979390	0.000000	
