YEAR	C0020259	C0023443	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	0.944444	0.055556	
1955	0.913043	0.086957	
1956	0.960000	0.040000	
1957	1.000000	0.000000	
1958	0.928571	0.071429	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	0.909091	0.090909	
1963	0.888889	0.111111	
1964	1.000000	0.000000	
1965	0.909091	0.090909	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	0.987654	0.012346	
1977	0.707792	0.292208	
1978	0.430939	0.569061	
1979	0.398625	0.601375	
1980	0.515385	0.484615	
1981	0.441176	0.558824	
1982	0.377163	0.622837	
1983	0.387195	0.612805	
1984	0.316372	0.683628	
1985	0.307305	0.692695	
1986	0.284823	0.715177	
1987	0.261789	0.738211	
1988	0.342672	0.657328	
1989	0.392324	0.607676	
1990	0.316406	0.683594	
1991	0.386308	0.613692	
1992	0.359343	0.640657	
1993	0.417850	0.582150	
1994	0.306028	0.693972	
1995	0.474874	0.525126	
1996	0.485714	0.514286	
1997	0.416431	0.583569	
1998	0.460843	0.539157	
1999	0.315934	0.684066	
2000	0.394231	0.605769	
2001	0.550802	0.449198	
2002	0.712794	0.287206	
2003	0.458050	0.541950	
2004	0.452030	0.547970	
2005	0.681922	0.318078	
2006	0.666041	0.333959	
2007	0.682266	0.317734	
2008	0.699248	0.300752	
2009	0.673870	0.326130	
2010	0.693578	0.306422	
2011	0.526087	0.473913	
2012	0.548718	0.451282	
2013	0.775687	0.224313	
2014	0.540852	0.459148	
2015	0.456592	0.543408	
2016	0.670365	0.329635	
2017	0.586652	0.413348	
2018	0.653846	0.346154	
