YEAR	C0021487	C0022037	
1946	0.076923	0.923077	
1947	0.166667	0.833333	
1948	0.571429	0.428571	
1949	0.666667	0.333333	
1950	0.611111	0.388889	
1951	0.517241	0.482759	
1952	0.437500	0.562500	
1953	0.354839	0.645161	
1954	0.500000	0.500000	
1955	0.350000	0.650000	
1956	0.384615	0.615385	
1957	0.235294	0.764706	
1958	0.318182	0.681818	
1959	0.538462	0.461538	
1960	0.461538	0.538462	
1961	0.533333	0.466667	
1962	0.760000	0.240000	
1963	0.592593	0.407407	
1964	0.548387	0.451613	
1965	0.521739	0.478261	
1966	0.476190	0.523810	
1967	0.548387	0.451613	
1968	0.518519	0.481481	
1969	0.320000	0.680000	
1970	0.605263	0.394737	
1971	0.588235	0.411765	
1972	0.760000	0.240000	
1973	0.268293	0.731707	
1974	0.258065	0.741935	
1975	0.432692	0.567308	
1976	0.471429	0.528571	
1977	0.250000	0.750000	
1978	0.328125	0.671875	
1979	0.339286	0.660714	
1980	0.355263	0.644737	
1981	0.305882	0.694118	
1982	0.285714	0.714286	
1983	0.475610	0.524390	
1984	0.600000	0.400000	
1985	0.400000	0.600000	
1986	0.474576	0.525424	
1987	0.685039	0.314961	
1988	0.415094	0.584906	
1989	0.563910	0.436090	
1990	0.443038	0.556962	
1991	0.493976	0.506024	
1992	0.406593	0.593407	
1993	0.506608	0.493392	
1994	0.367647	0.632353	
1995	0.398907	0.601093	
1996	0.282353	0.717647	
1997	0.339394	0.660606	
1998	0.370588	0.629412	
1999	0.125000	0.875000	
2000	0.250000	0.750000	
2001	0.258242	0.741758	
2002	0.336449	0.663551	
2003	0.224880	0.775120	
2004	0.330508	0.669492	
2005	0.299363	0.700637	
2006	0.205882	0.794118	
2007	0.347826	0.652174	
2008	0.253776	0.746224	
2009	0.199248	0.800752	
2010	0.170068	0.829932	
2011	0.336508	0.663492	
2012	0.416446	0.583554	
2013	0.262887	0.737113	
2014	0.413187	0.586813	
2015	0.151515	0.848485	
2016	0.193167	0.806833	
2017	0.174009	0.825991	
2018	0.130045	0.869955	
