YEAR	C0027819	C0398791	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	1.000000	0.000000	
2002	0.997904	0.002096	
2003	1.000000	0.000000	
2004	0.996948	0.003052	
2005	0.996689	0.003311	
2006	0.977096	0.022904	
2007	0.972714	0.027286	
2008	0.979300	0.020700	
2009	0.983975	0.016025	
2010	0.982820	0.017180	
2011	0.989120	0.010880	
2012	0.947115	0.052885	
2013	0.993456	0.006544	
2014	0.969049	0.030951	
2015	0.992948	0.007052	
2016	0.969944	0.030056	
2017	0.987560	0.012440	
2018	1.000000	0.000000	
