YEAR	C0033036	C0949780	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	0.739130	0.260870	
2002	0.395833	0.604167	
2003	0.500000	0.500000	
2004	0.769231	0.230769	
2005	0.302326	0.697674	
2006	0.840000	0.160000	
2007	0.527273	0.472727	
2008	0.944444	0.055556	
2009	1.000000	0.000000	
2010	1.000000	0.000000	
2011	0.909091	0.090909	
2012	1.000000	0.000000	
2013	0.672727	0.327273	
2014	0.600000	0.400000	
2015	1.000000	0.000000	
2016	1.000000	0.000000	
2017	1.000000	0.000000	
2018	1.000000	0.000000	
