YEAR	C0030779	C0031858	
1975	0.000000	1.000000	
1976	0.500000	0.500000	
1977	0.086957	0.913043	
1978	0.008772	0.991228	
1979	0.012195	0.987805	
1980	0.013141	0.986859	
1981	0.003764	0.996236	
1982	0.010962	0.989038	
1983	0.003071	0.996929	
1984	0.009535	0.990465	
1985	0.015152	0.984848	
1986	0.003308	0.996692	
1987	0.011834	0.988166	
1988	0.007557	0.992443	
1989	0.003538	0.996462	
1990	0.003293	0.996707	
1991	0.016710	0.983290	
1992	0.013255	0.986745	
1993	0.003210	0.996790	
1994	0.003745	0.996255	
1995	0.002119	0.997881	
1996	0.005837	0.994163	
1997	0.000000	1.000000	
1998	0.005115	0.994885	
1999	0.012295	0.987705	
2000	0.008499	0.991501	
2001	0.002494	0.997506	
2002	0.022082	0.977918	
2003	0.047101	0.952899	
2004	0.000000	1.000000	
2005	0.029605	0.970395	
2006	0.054945	0.945055	
2007	0.031746	0.968254	
2008	0.006438	0.993562	
2009	0.023891	0.976109	
2010	0.141414	0.858586	
2011	0.097826	0.902174	
2012	0.027569	0.972431	
2013	0.012107	0.987893	
2014	0.015686	0.984314	
2015	0.038544	0.961456	
2016	0.031185	0.968815	
2017	0.077720	0.922280	
2018	0.000000	1.000000	
