YEAR	C0031705	C0080014	
1945	0.809524	0.190476	
1946	0.730769	0.269231	
1947	0.677419	0.322581	
1948	0.664286	0.335714	
1949	0.746377	0.253623	
1950	0.721154	0.278846	
1951	0.696581	0.303419	
1952	0.667763	0.332237	
1953	0.692884	0.307116	
1954	0.677903	0.322097	
1955	0.692754	0.307246	
1956	0.746324	0.253676	
1957	0.716312	0.283688	
1958	0.694656	0.305344	
1959	0.705502	0.294498	
1960	0.675889	0.324111	
1961	0.704403	0.295597	
1962	0.673913	0.326087	
1963	0.691824	0.308176	
1964	0.730408	0.269592	
1965	0.820276	0.179724	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	0.996974	0.003026	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	0.964589	0.035411	
1991	0.837607	0.162393	
1992	0.817878	0.182122	
1993	0.777672	0.222328	
1994	0.839873	0.160127	
1995	0.803200	0.196800	
1996	0.775850	0.224150	
1997	0.791898	0.208102	
1998	0.893376	0.106624	
1999	0.860488	0.139512	
2000	0.788462	0.211538	
2001	0.914873	0.085127	
2002	0.880025	0.119975	
2003	0.880641	0.119359	
2004	0.883771	0.116229	
2005	0.946291	0.053709	
2006	0.935711	0.064289	
2007	0.930304	0.069696	
2008	0.939189	0.060811	
2009	0.938762	0.061238	
2010	0.912689	0.087311	
2011	0.941754	0.058246	
2012	0.904288	0.095712	
2013	0.946924	0.053076	
2014	0.933283	0.066717	
2015	0.959483	0.040517	
2016	0.956665	0.043335	
2017	0.951132	0.048868	
2018	0.844789	0.155211	
