YEAR	C0032064	C0032066	
1945	1.000000	0.000000	
1946	0.896552	0.103448	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	0.989474	0.010526	
1952	1.000000	0.000000	
1953	0.940299	0.059701	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	0.952941	0.047059	
1961	0.915254	0.084746	
1962	0.943396	0.056604	
1963	0.851485	0.148515	
1964	0.854167	0.145833	
1965	0.823529	0.176471	
1966	0.820000	0.180000	
1967	0.846154	0.153846	
1968	0.816667	0.183333	
1969	0.944444	0.055556	
1970	0.736842	0.263158	
1971	0.920000	0.080000	
1972	0.894737	0.105263	
1973	0.794872	0.205128	
1974	0.745455	0.254545	
1975	0.890909	0.109091	
1976	0.904762	0.095238	
1977	0.803279	0.196721	
1978	0.960784	0.039216	
1979	0.840909	0.159091	
1980	0.887500	0.112500	
1981	0.914894	0.085106	
1982	0.925000	0.075000	
1983	0.981818	0.018182	
1984	0.875000	0.125000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	0.959184	0.040816	
1989	1.000000	0.000000	
1990	0.930233	0.069767	
1991	1.000000	0.000000	
1992	0.944444	0.055556	
1993	0.990000	0.010000	
1994	0.896970	0.103030	
1995	0.919643	0.080357	
1996	0.898990	0.101010	
1997	0.957895	0.042105	
1998	0.964029	0.035971	
1999	0.941176	0.058824	
2000	0.892857	0.107143	
2001	0.878571	0.121429	
2002	0.974249	0.025751	
2003	0.914894	0.085106	
2004	0.923810	0.076190	
2005	0.895522	0.104478	
2006	0.898858	0.101142	
2007	0.869634	0.130366	
2008	0.969307	0.030693	
2009	0.918146	0.081854	
2010	0.935258	0.064742	
2011	0.893204	0.106796	
2012	0.899017	0.100983	
2013	0.891794	0.108206	
2014	0.911308	0.088692	
2015	0.915071	0.084929	
2016	0.974641	0.025359	
2017	0.872867	0.127133	
2018	0.963198	0.036802	
