YEAR	C0040452	C0242726	
1945	0.142857	0.857143	
1946	0.266667	0.733333	
1947	0.655172	0.344828	
1948	0.480000	0.520000	
1949	0.258065	0.741935	
1950	0.304348	0.695652	
1951	0.292308	0.707692	
1952	0.254545	0.745455	
1953	0.240000	0.760000	
1954	0.264706	0.735294	
1955	0.354167	0.645833	
1956	0.181818	0.818182	
1957	0.028571	0.971429	
1958	0.071429	0.928571	
1959	0.195122	0.804878	
1960	0.166667	0.833333	
1961	0.090909	0.909091	
1962	0.111111	0.888889	
1963	0.208333	0.791667	
1964	0.130435	0.869565	
1965	0.555556	0.444444	
1966	0.875000	0.125000	
1967	1.000000	0.000000	
1968	0.888889	0.111111	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	0.982759	0.017241	
1974	0.970588	0.029412	
1975	1.000000	0.000000	
1976	0.993506	0.006494	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	0.985680	0.014320	
1986	1.000000	0.000000	
1987	0.983333	0.016667	
1988	0.992991	0.007009	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	0.993760	0.006240	
1992	0.996161	0.003839	
1993	0.997947	0.002053	
1994	0.663386	0.336614	
1995	0.507028	0.492972	
1996	0.476754	0.523246	
1997	0.414286	0.585714	
1998	0.375995	0.624005	
1999	0.342857	0.657143	
2000	0.170038	0.829962	
2001	0.169152	0.830848	
2002	0.159774	0.840226	
2003	0.114855	0.885145	
2004	0.108504	0.891496	
2005	0.118967	0.881033	
2006	0.112318	0.887682	
2007	0.087965	0.912035	
2008	0.074749	0.925251	
2009	0.091136	0.908864	
2010	0.078529	0.921471	
2011	0.070213	0.929787	
2012	0.068507	0.931493	
2013	0.068860	0.931140	
2014	0.045050	0.954950	
2015	0.044698	0.955302	
2016	0.048786	0.951214	
2017	0.052557	0.947443	
2018	0.059103	0.940897	
