YEAR	C0021965	C0040052	
1974	0.000000	1.000000	
1975	0.307692	0.692308	
1976	0.671642	0.328358	
1977	0.701754	0.298246	
1978	0.850000	0.150000	
1979	0.571429	0.428571	
1980	0.884615	0.115385	
1981	0.880000	0.120000	
1982	0.858824	0.141176	
1983	0.910112	0.089888	
1984	0.975610	0.024390	
1985	0.906667	0.093333	
1986	0.913876	0.086124	
1987	0.921569	0.078431	
1988	0.932692	0.067308	
1989	0.954315	0.045685	
1990	0.964539	0.035461	
1991	0.966321	0.033679	
1992	0.908163	0.091837	
1993	0.989796	0.010204	
1994	0.866792	0.133208	
1995	0.436954	0.563046	
1996	0.310666	0.689334	
1997	0.296846	0.703154	
1998	0.241682	0.758318	
1999	0.298630	0.701370	
2000	0.313753	0.686247	
2001	0.279287	0.720713	
2002	0.302064	0.697936	
2003	0.450820	0.549180	
2004	0.359447	0.640553	
2005	0.505073	0.494927	
2006	0.508299	0.491701	
2007	0.559124	0.440876	
2008	0.501401	0.498599	
2009	0.619617	0.380383	
2010	0.475659	0.524341	
2011	0.546189	0.453811	
2012	0.414883	0.585117	
2013	0.546005	0.453995	
2014	0.739097	0.260903	
2015	0.479587	0.520413	
2016	0.537313	0.462687	
2017	0.514894	0.485106	
2018	0.566129	0.433871	
