YEAR	C0013220	C0020963	
1946	0.689655	0.310345	
1947	0.615385	0.384615	
1948	0.673913	0.326087	
1949	0.439024	0.560976	
1950	0.581395	0.418605	
1951	0.500000	0.500000	
1952	0.536232	0.463768	
1953	0.568182	0.431818	
1954	0.563636	0.436364	
1955	0.500000	0.500000	
1956	0.467532	0.532468	
1957	0.476744	0.523256	
1958	0.420000	0.580000	
1959	0.396040	0.603960	
1960	0.413174	0.586826	
1961	0.320261	0.679739	
1962	0.413043	0.586957	
1963	0.386935	0.613065	
1964	0.338624	0.661376	
1965	0.335404	0.664596	
1966	0.273504	0.726496	
1967	0.330882	0.669118	
1968	0.429577	0.570423	
1969	0.351220	0.648780	
1970	0.372727	0.627273	
1971	0.371859	0.628141	
1972	0.398467	0.601533	
1973	0.473282	0.526718	
1974	0.448819	0.551181	
1975	0.493769	0.506231	
1976	0.564254	0.435746	
1977	0.585196	0.414804	
1978	0.717011	0.282989	
1979	0.646492	0.353508	
1980	0.643803	0.356197	
1981	0.678241	0.321759	
1982	0.711055	0.288945	
1983	0.722791	0.277209	
1984	0.741155	0.258845	
1985	0.750594	0.249406	
1986	0.695247	0.304753	
1987	0.677049	0.322951	
1988	0.704237	0.295763	
1989	0.651631	0.348369	
1990	0.645920	0.354080	
1991	0.668639	0.331361	
1992	0.615676	0.384324	
1993	0.574062	0.425938	
1994	0.604035	0.395965	
1995	0.568497	0.431503	
1996	0.513946	0.486054	
1997	0.436253	0.563747	
1998	0.396140	0.603860	
1999	0.413923	0.586077	
2000	0.448783	0.551217	
2001	0.460587	0.539413	
2002	0.380178	0.619822	
2003	0.391615	0.608385	
2004	0.385670	0.614330	
2005	0.384208	0.615792	
2006	0.345221	0.654779	
2007	0.384436	0.615564	
2008	0.391801	0.608199	
2009	0.328258	0.671742	
2010	0.389064	0.610936	
2011	0.363664	0.636336	
2012	0.302762	0.697238	
2013	0.339001	0.660999	
2014	0.358892	0.641108	
2015	0.323911	0.676089	
2016	0.431857	0.568143	
2017	0.388453	0.611547	
2018	0.474537	0.525463	
