YEAR	C0027708	C0148873	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	0.992727	0.007273	
1992	0.934081	0.065919	
1993	0.829028	0.170972	
1994	0.827160	0.172840	
1995	0.659041	0.340959	
1996	0.676071	0.323929	
1997	0.662060	0.337940	
1998	0.575329	0.424671	
1999	0.539040	0.460960	
2000	0.620164	0.379836	
2001	0.599152	0.400848	
2002	0.457176	0.542824	
2003	0.510617	0.489383	
2004	0.514286	0.485714	
2005	0.521322	0.478678	
2006	0.515102	0.484898	
2007	0.393640	0.606360	
2008	0.370565	0.629435	
2009	0.347333	0.652667	
2010	0.320530	0.679470	
2011	0.374938	0.625062	
2012	0.449364	0.550636	
2013	0.258190	0.741810	
2014	0.292740	0.707260	
2015	0.319634	0.680366	
2016	0.399919	0.600081	
2017	0.356548	0.643452	
2018	0.714060	0.285940	
