YEAR	C0043041	C0258432	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	0.970149	0.029851	
1995	0.594595	0.405405	
1996	0.425000	0.575000	
1997	0.379310	0.620690	
1998	0.267925	0.732075	
1999	0.201474	0.798526	
2000	0.217770	0.782230	
2001	0.310786	0.689214	
2002	0.452899	0.547101	
2003	0.503690	0.496310	
2004	0.288823	0.711177	
2005	0.521036	0.478964	
2006	0.559302	0.440698	
2007	0.483210	0.516790	
2008	0.584327	0.415673	
2009	0.682852	0.317148	
2010	0.665748	0.334252	
2011	0.698041	0.301959	
2012	0.750835	0.249165	
2013	0.634538	0.365462	
2014	0.752437	0.247563	
2015	0.673420	0.326580	
2016	0.763211	0.236789	
2017	0.663381	0.336619	
2018	0.943467	0.056533	
