YEAR	C0001948	C0684271	
1946	0.750000	0.250000	
1947	0.692308	0.307692	
1948	0.800000	0.200000	
1949	0.666667	0.333333	
1950	0.583333	0.416667	
1951	0.764706	0.235294	
1952	0.857143	0.142857	
1953	0.800000	0.200000	
1954	0.700000	0.300000	
1955	0.785714	0.214286	
1956	0.882353	0.117647	
1957	0.727273	0.272727	
1958	0.730769	0.269231	
1959	0.709677	0.290323	
1960	0.617647	0.382353	
1961	0.791667	0.208333	
1962	0.687500	0.312500	
1963	0.684211	0.315789	
1964	0.764706	0.235294	
1965	0.714286	0.285714	
1966	0.000000	1.000000	
1967	0.035714	0.964286	
1968	0.540000	0.460000	
1969	0.545455	0.454545	
1970	0.790698	0.209302	
1971	0.745098	0.254902	
1972	0.738095	0.261905	
1973	0.576923	0.423077	
1974	0.574803	0.425197	
1975	0.643646	0.356354	
1976	0.789318	0.210682	
1977	0.731935	0.268065	
1978	0.679487	0.320513	
1979	0.755245	0.244755	
1980	0.711864	0.288136	
1981	0.702381	0.297619	
1982	0.649824	0.350176	
1983	0.768064	0.231936	
1984	0.806452	0.193548	
1985	0.821209	0.178791	
1986	0.823820	0.176180	
1987	0.867202	0.132798	
1988	0.811054	0.188946	
1989	0.853970	0.146030	
1990	0.867991	0.132009	
1991	0.894836	0.105164	
1992	0.875626	0.124374	
1993	0.910729	0.089271	
1994	0.917597	0.082403	
1995	0.891600	0.108400	
1996	0.893939	0.106061	
1997	0.912034	0.087966	
1998	0.910409	0.089591	
1999	0.921538	0.078462	
2000	0.927666	0.072334	
2001	0.922953	0.077047	
2002	0.906826	0.093174	
2003	0.948678	0.051322	
2004	0.928927	0.071073	
2005	0.933273	0.066727	
2006	0.933075	0.066925	
2007	0.949197	0.050803	
2008	0.953621	0.046379	
2009	0.964980	0.035020	
2010	0.956460	0.043540	
2011	0.965645	0.034355	
2012	0.981452	0.018548	
2013	0.971627	0.028373	
2014	0.978673	0.021327	
2015	0.979328	0.020672	
2016	0.962446	0.037554	
2017	0.972246	0.027754	
2018	0.976202	0.023798	
