YEAR	C0032009	C0032017	
1946	1.000000	0.000000	
1947	0.857143	0.142857	
1948	1.000000	0.000000	
1949	0.777778	0.222222	
1950	0.785714	0.214286	
1951	0.863636	0.136364	
1952	0.925926	0.074074	
1953	0.818182	0.181818	
1954	0.826923	0.173077	
1955	0.925000	0.075000	
1956	0.880952	0.119048	
1957	0.767442	0.232558	
1958	0.829268	0.170732	
1959	0.800000	0.200000	
1960	0.760870	0.239130	
1961	0.613636	0.386364	
1962	0.600000	0.400000	
1963	0.644444	0.355556	
1964	0.604651	0.395349	
1965	0.621622	0.378378	
1966	0.675000	0.325000	
1967	0.555556	0.444444	
1968	0.592593	0.407407	
1969	0.750000	0.250000	
1970	0.603774	0.396226	
1971	0.653846	0.346154	
1972	0.730769	0.269231	
1973	0.740000	0.260000	
1974	0.888889	0.111111	
1975	0.895522	0.104478	
1976	0.860656	0.139344	
1977	0.933333	0.066667	
1978	0.780702	0.219298	
1979	0.917526	0.082474	
1980	0.843478	0.156522	
1981	0.959184	0.040816	
1982	0.852459	0.147541	
1983	0.826667	0.173333	
1984	0.907801	0.092199	
1985	0.939227	0.060773	
1986	0.955414	0.044586	
1987	0.945355	0.054645	
1988	0.925287	0.074713	
1989	0.977273	0.022727	
1990	0.946429	0.053571	
1991	0.962963	0.037037	
1992	0.933775	0.066225	
1993	0.864516	0.135484	
1994	0.963504	0.036496	
1995	0.972477	0.027523	
1996	0.961039	0.038961	
1997	1.000000	0.000000	
1998	0.901235	0.098765	
1999	0.988636	0.011364	
2000	0.988889	0.011111	
2001	0.987013	0.012987	
2002	0.930233	0.069767	
2003	0.938462	0.061538	
2004	0.956522	0.043478	
2005	0.937500	0.062500	
2006	1.000000	0.000000	
2007	0.955556	0.044444	
2008	0.842105	0.157895	
2009	0.952756	0.047244	
2010	0.891304	0.108696	
2011	0.973684	0.026316	
2012	0.795455	0.204545	
2013	1.000000	0.000000	
2014	0.861111	0.138889	
2015	1.000000	0.000000	
2016	0.972973	0.027027	
2017	0.985915	0.014085	
2018	1.000000	0.000000	
