YEAR	C0001625	C0014563	
1945	24	20	
1946	111	56	
1947	102	63	
1948	110	71	
1949	178	135	
1950	233	260	
1951	275	321	
1952	269	320	
1953	287	343	
1954	263	280	
1955	271	265	
1956	273	307	
1957	258	355	
1958	209	347	
1959	247	321	
1960	250	259	
1961	272	283	
1962	287	312	
1963	325	331	
1964	409	385	
1965	416	311	
1966	482	388	
1967	551	399	
1968	607	456	
1969	683	482	
1970	631	434	
1971	668	464	
1972	654	425	
1973	649	404	
1974	685	450	
1975	1722	1759	
1976	1640	1549	
1977	1011	1345	
1978	970	1669	
1979	941	1344	
1980	1119	1696	
1981	1096	1809	
1982	1156	2056	
1983	1139	2178	
1984	1430	2473	
1985	1353	2566	
1986	1464	2596	
1987	1341	2633	
1988	1448	2652	
1989	1490	2647	
1990	1514	2604	
1991	1702	2646	
1992	1517	2531	
1993	1439	2165	
1994	1450	1930	
1995	1586	1961	
1996	1429	1739	
1997	1463	1964	
1998	1576	1900	
1999	1310	1779	
2000	1302	1872	
2001	1239	1692	
2002	1395	1756	
2003	1286	1550	
2004	1150	1710	
2005	1025	1579	
2006	1143	1439	
2007	1295	1701	
2008	1496	1684	
2009	1440	1890	
2010	1532	1504	
2011	1380	1953	
2012	1990	2123	
2013	1999	2256	
2014	1992	2395	
2015	2192	2542	
2016	2248	2765	
2017	2105	2597	
2018	1111	882	
