YEAR	C0006012	C0006287	
1956	1	0	
1957	0	0	
1958	0	0	
1959	0	0	
1960	0	0	
1961	0	0	
1962	0	0	
1963	0	0	
1964	1	0	
1965	0	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	6	0	
1981	20	10	
1982	31	55	
1983	72	45	
1984	78	88	
1985	85	68	
1986	113	124	
1987	123	141	
1988	107	163	
1989	148	160	
1990	102	216	
1991	158	188	
1992	149	311	
1993	281	194	
1994	219	197	
1995	163	242	
1996	160	280	
1997	217	285	
1998	182	368	
1999	284	154	
2000	319	178	
2001	308	278	
2002	422	188	
2003	444	348	
2004	544	454	
2005	746	406	
2006	765	419	
2007	879	528	
2008	1034	509	
2009	1437	443	
2010	1291	640	
2011	1393	926	
2012	1990	1364	
2013	2626	1763	
2014	2498	2124	
2015	2966	1988	
2016	3628	2299	
2017	2604	2499	
2018	779	590	
