YEAR	C0006304	C0302363	
1943	1	0	
1944	0	0	
1945	0	0	
1946	8	1	
1947	12	4	
1948	11	3	
1949	8	0	
1950	19	2	
1951	21	0	
1952	13	0	
1953	12	0	
1954	19	0	
1955	15	0	
1956	10	0	
1957	15	0	
1958	17	1	
1959	9	1	
1960	11	3	
1961	21	12	
1962	26	7	
1963	9	3	
1964	20	3	
1965	17	21	
1966	20	12	
1967	25	24	
1968	28	13	
1969	30	14	
1970	20	15	
1971	14	6	
1972	17	8	
1973	28	16	
1974	20	9	
1975	41	11	
1976	69	54	
1977	47	23	
1978	79	43	
1979	89	34	
1980	68	58	
1981	74	30	
1982	58	35	
1983	64	45	
1984	104	62	
1985	91	71	
1986	82	58	
1987	61	30	
1988	73	39	
1989	89	39	
1990	71	25	
1991	70	16	
1992	64	14	
1993	56	23	
1994	88	28	
1995	70	31	
1996	96	33	
1997	48	12	
1998	74	39	
1999	55	29	
2000	112	41	
2001	86	26	
2002	111	60	
2003	65	17	
2004	61	12	
2005	70	30	
2006	73	11	
2007	78	21	
2008	99	36	
2009	81	51	
2010	116	61	
2011	108	50	
2012	182	65	
2013	193	103	
2014	150	111	
2015	169	131	
2016	198	93	
2017	138	126	
2018	138	49	
