YEAR	C0007578	C0178551	
1945	0	1	
1946	0	4	
1947	0	2	
1948	0	2	
1949	0	5	
1950	0	4	
1951	0	0	
1952	0	3	
1953	0	6	
1954	0	10	
1955	0	8	
1956	0	14	
1957	0	17	
1958	0	10	
1959	0	7	
1960	0	16	
1961	0	7	
1962	0	15	
1963	0	14	
1964	0	8	
1965	0	4	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	1	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	0	0	
1981	8	0	
1982	27	0	
1983	114	0	
1984	236	0	
1985	380	0	
1986	492	0	
1987	503	0	
1988	417	0	
1989	529	0	
1990	500	0	
1991	688	0	
1992	966	0	
1993	1216	0	
1994	1373	0	
1995	1123	0	
1996	989	0	
1997	1327	0	
1998	1161	0	
1999	948	0	
2000	804	0	
2001	1245	0	
2002	825	0	
2003	879	8	
2004	839	96	
2005	1030	173	
2006	1004	220	
2007	874	250	
2008	713	304	
2009	964	469	
2010	1000	531	
2011	1045	533	
2012	1185	682	
2013	1394	553	
2014	1457	657	
2015	1244	998	
2016	971	760	
2017	651	996	
2018	331	338	
