YEAR	C0002876	C0092801	
1979	11	0	
1980	27	0	
1981	10	0	
1982	33	0	
1983	22	10	
1984	10	1	
1985	32	6	
1986	19	14	
1987	30	0	
1988	4	9	
1989	13	41	
1990	15	21	
1991	16	43	
1992	20	84	
1993	32	191	
1994	38	364	
1995	21	282	
1996	38	334	
1997	50	266	
1998	53	308	
1999	39	315	
2000	87	243	
2001	54	164	
2002	59	262	
2003	60	229	
2004	39	291	
2005	36	190	
2006	24	172	
2007	22	129	
2008	40	121	
2009	32	157	
2010	64	250	
2011	68	303	
2012	37	279	
2013	67	216	
2014	34	227	
2015	17	300	
2016	35	90	
2017	27	264	
2018	3	143	
