YEAR	C0010132	C0022661	
1950	0	3	
1951	0	4	
1952	0	4	
1953	0	3	
1954	0	5	
1955	0	4	
1956	1	3	
1957	0	6	
1958	2	4	
1959	3	7	
1960	7	7	
1961	0	10	
1962	4	10	
1963	3	14	
1964	1	26	
1965	0	15	
1966	0	33	
1967	2	36	
1968	9	75	
1969	13	84	
1970	12	86	
1971	10	97	
1972	21	156	
1973	21	127	
1974	29	150	
1975	51	368	
1976	110	403	
1977	98	390	
1978	50	428	
1979	59	413	
1980	54	571	
1981	110	568	
1982	360	672	
1983	647	882	
1984	936	929	
1985	1145	909	
1986	1357	859	
1987	1696	920	
1988	1648	1012	
1989	1737	1474	
1990	1726	1457	
1991	1493	1704	
1992	1968	1734	
1993	2162	1732	
1994	1968	1824	
1995	1966	1978	
1996	2008	2301	
1997	2123	2307	
1998	2144	2310	
1999	2289	2461	
2000	1805	2561	
2001	2248	2644	
2002	1784	3147	
2003	1940	3755	
2004	2115	3474	
2005	1906	3922	
2006	2600	3661	
2007	2102	3736	
2008	2282	3312	
2009	2360	3734	
2010	2080	4058	
2011	2655	4223	
2012	3201	5804	
2013	2999	5075	
2014	2787	6668	
2015	2468	8000	
2016	4126	8827	
2017	3295	7226	
2018	670	2704	
