YEAR	C0006767	C0376154	
1947	2	2	
1948	4	0	
1949	0	0	
1950	8	8	
1951	5	4	
1952	2	7	
1953	9	11	
1954	1	9	
1955	1	2	
1956	13	14	
1957	1	4	
1958	3	5	
1959	3	8	
1960	5	10	
1961	2	3	
1962	11	11	
1963	3	3	
1964	4	2	
1965	1	4	
1966	2	2	
1967	0	0	
1968	0	1	
1969	0	2	
1970	0	2	
1971	0	3	
1972	7	1	
1973	13	4	
1974	18	1	
1975	25	3	
1976	28	1	
1977	39	10	
1978	30	2	
1979	33	3	
1980	30	6	
1981	19	1	
1982	23	9	
1983	24	11	
1984	59	6	
1985	44	19	
1986	53	4	
1987	54	8	
1988	34	0	
1989	82	7	
1990	58	3	
1991	44	7	
1992	95	4	
1993	110	6	
1994	106	0	
1995	125	5	
1996	98	21	
1997	97	12	
1998	151	9	
1999	107	9	
2000	108	29	
2001	127	13	
2002	107	15	
2003	128	7	
2004	131	1	
2005	131	15	
2006	107	7	
2007	174	11	
2008	129	11	
2009	404	19	
2010	580	21	
2011	447	34	
2012	331	7	
2013	494	54	
2014	808	3	
2015	491	45	
2016	509	159	
2017	606	37	
2018	291	43	
