YEAR	C0013961	C0015063	
1945	2	0	
1946	3	0	
1947	4	0	
1948	4	0	
1949	1	0	
1950	3	0	
1951	10	0	
1952	9	0	
1953	8	0	
1954	9	0	
1955	6	0	
1956	9	0	
1957	7	0	
1958	9	0	
1959	6	1	
1960	5	0	
1961	12	0	
1962	10	1	
1963	17	4	
1964	10	1	
1965	15	0	
1966	1	0	
1967	9	0	
1968	30	0	
1969	34	0	
1970	26	0	
1971	20	0	
1972	30	0	
1973	41	0	
1974	54	0	
1975	80	45	
1976	69	51	
1977	75	59	
1978	107	105	
1979	102	38	
1980	81	85	
1981	88	72	
1982	76	78	
1983	71	61	
1984	122	105	
1985	97	84	
1986	114	115	
1987	110	84	
1988	114	78	
1989	182	85	
1990	223	121	
1991	269	62	
1992	192	130	
1993	320	68	
1994	336	75	
1995	389	78	
1996	342	30	
1997	472	62	
1998	421	61	
1999	493	51	
2000	448	99	
2001	486	64	
2002	586	28	
2003	672	56	
2004	650	67	
2005	707	29	
2006	722	65	
2007	653	81	
2008	996	192	
2009	1296	218	
2010	1449	202	
2011	1509	137	
2012	2120	206	
2013	2242	190	
2014	2591	389	
2015	4062	259	
2016	4934	219	
2017	4619	201	
2018	1634	44	
