YEAR	C0018120	C0221971	
1945	1	1	
1946	3	0	
1947	5	1	
1948	3	0	
1949	4	3	
1950	5	2	
1951	8	8	
1952	8	7	
1953	4	6	
1954	14	6	
1955	6	5	
1956	8	8	
1957	8	17	
1958	7	9	
1959	11	14	
1960	12	12	
1961	10	12	
1962	8	17	
1963	6	9	
1964	10	7	
1965	12	7	
1966	11	0	
1967	11	0	
1968	26	6	
1969	14	0	
1970	9	0	
1971	11	0	
1972	30	0	
1973	36	0	
1974	51	0	
1975	175	0	
1976	145	0	
1977	159	0	
1978	135	0	
1979	130	0	
1980	171	0	
1981	236	0	
1982	244	0	
1983	297	0	
1984	282	0	
1985	317	0	
1986	379	0	
1987	416	0	
1988	283	0	
1989	342	0	
1990	432	0	
1991	365	0	
1992	343	0	
1993	449	0	
1994	470	3	
1995	437	141	
1996	511	393	
1997	672	430	
1998	719	476	
1999	847	411	
2000	990	538	
2001	964	460	
2002	874	432	
2003	1118	744	
2004	1025	533	
2005	1206	809	
2006	1247	733	
2007	1098	712	
2008	1048	791	
2009	1504	886	
2010	1959	1113	
2011	2186	1108	
2012	2140	2409	
2013	2868	2533	
2014	3106	2520	
2015	4070	2885	
2016	3648	2211	
2017	3784	1819	
2018	1455	801	
