YEAR	C0021069	C0021171	
1947	0	1	
1948	0	2	
1949	0	0	
1950	0	4	
1951	0	5	
1952	0	9	
1953	0	4	
1954	0	6	
1955	0	10	
1956	0	8	
1957	0	5	
1958	1	7	
1959	0	10	
1960	2	9	
1961	1	8	
1962	1	7	
1963	1	7	
1964	3	4	
1965	0	7	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	1	0	
1981	0	0	
1982	0	0	
1983	0	0	
1984	0	0	
1985	1	1	
1986	0	10	
1987	0	48	
1988	0	35	
1989	2	30	
1990	0	36	
1991	0	38	
1992	0	36	
1993	0	57	
1994	0	51	
1995	0	33	
1996	0	39	
1997	0	31	
1998	0	37	
1999	0	26	
2000	0	63	
2001	41	58	
2002	0	37	
2003	27	68	
2004	294	69	
2005	711	64	
2006	749	80	
2007	918	60	
2008	1032	77	
2009	1782	71	
2010	3219	124	
2011	3260	113	
2012	2911	24	
2013	3257	245	
2014	3098	252	
2015	4160	105	
2016	3726	116	
2017	2319	92	
2018	403	8	
