YEAR	C0022864	C0043227	
1945	4	44	
1946	40	92	
1947	64	102	
1948	66	84	
1949	78	86	
1950	233	305	
1951	273	419	
1952	214	371	
1953	269	396	
1954	290	475	
1955	274	469	
1956	254	468	
1957	295	417	
1958	332	458	
1959	276	445	
1960	256	405	
1961	248	394	
1962	314	495	
1963	303	276	
1964	331	131	
1965	186	93	
1966	133	63	
1967	147	82	
1968	153	72	
1969	201	99	
1970	172	99	
1971	153	97	
1972	156	92	
1973	177	87	
1974	178	134	
1975	375	217	
1976	475	171	
1977	442	145	
1978	395	178	
1979	466	155	
1980	454	146	
1981	483	179	
1982	522	182	
1983	496	209	
1984	475	324	
1985	563	236	
1986	461	276	
1987	623	213	
1988	532	419	
1989	597	499	
1990	560	410	
1991	574	295	
1992	589	249	
1993	631	323	
1994	592	305	
1995	700	405	
1996	690	376	
1997	727	507	
1998	725	279	
1999	798	452	
2000	861	420	
2001	762	501	
2002	837	399	
2003	809	345	
2004	638	597	
2005	738	553	
2006	827	810	
2007	837	879	
2008	1244	678	
2009	1063	989	
2010	1184	2111	
2011	1003	2029	
2012	1472	2780	
2013	2414	3159	
2014	2581	5487	
2015	2183	7486	
2016	2716	5043	
2017	3674	2737	
2018	1057	1697	
