YEAR	C0023008	C0033348	
1945	1	0	
1946	7	0	
1947	14	0	
1948	8	0	
1949	17	0	
1950	34	0	
1951	18	0	
1952	37	0	
1953	38	0	
1954	35	0	
1955	35	0	
1956	23	0	
1957	25	0	
1958	30	1	
1959	39	0	
1960	39	0	
1961	47	0	
1962	42	1	
1963	44	0	
1964	82	0	
1965	77	0	
1966	35	0	
1967	41	0	
1968	34	0	
1969	38	0	
1970	39	0	
1971	35	0	
1972	43	0	
1973	49	0	
1974	43	0	
1975	104	0	
1976	115	0	
1977	132	0	
1978	99	0	
1979	100	0	
1980	98	0	
1981	117	0	
1982	134	0	
1983	242	0	
1984	171	0	
1985	224	6	
1986	219	5	
1987	158	12	
1988	239	12	
1989	338	21	
1990	281	29	
1991	330	33	
1992	303	34	
1993	357	32	
1994	383	43	
1995	516	25	
1996	544	45	
1997	679	47	
1998	534	60	
1999	767	47	
2000	841	78	
2001	782	147	
2002	1217	84	
2003	1609	115	
2004	1677	115	
2005	1790	269	
2006	2070	245	
2007	2614	177	
2008	3353	347	
2009	3917	247	
2010	4631	271	
2011	5512	276	
2012	7260	459	
2013	9152	363	
2014	10646	401	
2015	12537	274	
2016	12086	314	
2017	11712	197	
2018	3592	101	
