YEAR	C0085113	C0162678	
1945	0	3	
1946	0	12	
1947	0	4	
1948	0	7	
1949	0	13	
1950	0	30	
1951	0	36	
1952	0	24	
1953	0	25	
1954	0	25	
1955	0	30	
1956	0	26	
1957	0	18	
1958	0	21	
1959	0	17	
1960	0	25	
1961	0	26	
1962	0	27	
1963	0	44	
1964	0	35	
1965	0	16	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	0	0	
1981	0	0	
1982	0	0	
1983	0	0	
1984	0	0	
1985	0	0	
1986	0	0	
1987	0	0	
1988	0	0	
1989	0	0	
1990	11	0	
1991	102	4	
1992	197	81	
1993	301	119	
1994	295	126	
1995	346	82	
1996	320	80	
1997	218	88	
1998	117	46	
1999	278	100	
2000	330	92	
2001	169	82	
2002	192	50	
2003	188	68	
2004	155	45	
2005	256	96	
2006	185	112	
2007	301	83	
2008	194	70	
2009	135	48	
2010	176	61	
2011	756	58	
2012	572	120	
2013	344	225	
2014	1099	100	
2015	435	69	
2016	352	128	
2017	1101	82	
2018	232	44	
