YEAR	C0033036	C0949780	
1949	1	0	
1950	0	0	
1951	0	0	
1952	0	0	
1953	0	0	
1954	0	0	
1955	3	0	
1956	0	0	
1957	0	0	
1958	0	0	
1959	1	0	
1960	1	0	
1961	0	0	
1962	0	0	
1963	0	0	
1964	0	0	
1965	1	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	0	0	
1981	0	0	
1982	0	0	
1983	0	0	
1984	0	0	
1985	0	0	
1986	0	0	
1987	0	0	
1988	0	0	
1989	0	0	
1990	0	0	
1991	0	0	
1992	0	0	
1993	0	0	
1994	0	0	
1995	15	0	
1996	7	0	
1997	4	0	
1998	14	0	
1999	6	0	
2000	7	0	
2001	34	12	
2002	19	29	
2003	41	41	
2004	40	12	
2005	13	30	
2006	42	8	
2007	29	26	
2008	34	2	
2009	22	0	
2010	13	0	
2011	20	2	
2012	43	0	
2013	74	36	
2014	9	6	
2015	181	0	
2016	213	0	
2017	219	0	
2018	50	0	
