YEAR	C0030131	C0030625	C0078944	C0149576	C0429865	
1945	0	0	0	1	0	
1946	0	0	0	0	0	
1947	0	0	0	0	0	
1948	0	0	0	1	0	
1949	0	0	0	0	0	
1950	0	0	0	0	0	
1951	0	3	0	0	0	
1952	0	1	0	0	0	
1953	0	3	0	3	0	
1954	0	0	0	3	0	
1955	0	1	0	2	0	
1956	0	2	0	0	0	
1957	0	8	0	1	0	
1958	0	4	0	2	0	
1959	0	4	0	3	0	
1960	0	13	0	0	1	
1961	0	6	0	4	0	
1962	0	7	0	3	0	
1963	0	10	0	4	1	
1964	0	10	0	7	1	
1965	0	13	0	1	0	
1966	0	28	0	0	0	
1967	0	13	0	0	0	
1968	0	22	0	0	0	
1969	0	23	0	0	0	
1970	0	15	0	0	0	
1971	0	18	0	0	0	
1972	0	9	0	0	0	
1973	0	11	0	0	0	
1974	1	10	0	0	0	
1975	45	69	0	0	0	
1976	57	75	0	0	0	
1977	43	78	0	0	0	
1978	86	67	0	0	0	
1979	56	80	0	0	0	
1980	56	78	0	0	0	
1981	53	66	0	0	0	
1982	81	73	0	0	0	
1983	34	104	0	0	0	
1984	77	67	0	0	0	
1985	119	79	0	0	0	
1986	105	62	0	0	0	
1987	82	50	0	0	0	
1988	61	126	0	0	0	
1989	58	62	12	0	0	
1990	54	66	109	0	0	
1991	104	45	300	0	1	
1992	112	64	342	0	0	
1993	77	72	333	0	0	
1994	101	49	340	0	0	
1995	74	66	350	0	0	
1996	62	32	368	0	0	
1997	40	70	393	0	0	
1998	16	61	401	0	0	
1999	36	49	306	19	4	
2000	81	39	302	49	0	
2001	55	58	287	22	63	
2002	26	17	321	59	194	
2003	22	26	310	21	318	
2004	45	30	328	125	652	
2005	52	31	423	48	891	
2006	32	29	316	88	1214	
2007	25	30	410	103	1553	
2008	35	60	381	89	2086	
2009	16	57	466	138	2467	
2010	3	67	397	103	3839	
2011	15	46	396	66	4621	
2012	4	81	619	124	6450	
2013	5	25	523	213	7341	
2014	143	48	660	190	7690	
2015	50	97	884	111	8697	
2016	14	47	1017	218	7197	
2017	0	41	822	122	7337	
2018	0	3	235	104	2826	
2019	0	0	0	0	24	
