YEAR	C0034044	C0034833	
1945	5	0	
1946	12	0	
1947	17	0	
1948	19	0	
1949	9	0	
1950	14	0	
1951	13	0	
1952	14	0	
1953	10	0	
1954	9	0	
1955	8	0	
1956	19	0	
1957	12	0	
1958	10	0	
1959	13	0	
1960	16	0	
1961	26	0	
1962	21	0	
1963	13	0	
1964	22	0	
1965	17	0	
1966	13	0	
1967	10	0	
1968	21	0	
1969	21	0	
1970	24	0	
1971	10	0	
1972	17	0	
1973	22	3	
1974	8	0	
1975	24	1	
1976	15	12	
1977	30	69	
1978	29	123	
1979	42	191	
1980	17	278	
1981	37	299	
1982	30	372	
1983	118	484	
1984	49	633	
1985	44	544	
1986	70	770	
1987	49	677	
1988	37	916	
1989	108	1082	
1990	115	830	
1991	119	964	
1992	70	910	
1993	79	864	
1994	57	1023	
1995	39	904	
1996	69	1141	
1997	107	993	
1998	127	1131	
1999	110	993	
2000	110	1339	
2001	132	1129	
2002	116	1718	
2003	172	1526	
2004	145	1434	
2005	196	1921	
2006	226	2169	
2007	218	1761	
2008	247	2637	
2009	406	2946	
2010	432	2676	
2011	483	3040	
2012	519	4830	
2013	635	4147	
2014	894	4683	
2015	861	3567	
2016	697	4524	
2017	906	4073	
2018	224	883	
