YEAR	C0013058	C0031336	
1945	0	11	
1946	0	62	
1947	0	65	
1948	0	40	
1949	0	43	
1950	0	87	
1951	0	150	
1952	0	117	
1953	0	129	
1954	0	145	
1955	0	103	
1956	0	68	
1957	0	64	
1958	0	88	
1959	0	76	
1960	0	93	
1961	0	89	
1962	0	146	
1963	1	172	
1964	7	216	
1965	10	86	
1966	12	31	
1967	14	26	
1968	18	23	
1969	32	32	
1970	27	22	
1971	37	36	
1972	27	40	
1973	21	27	
1974	24	20	
1975	13	81	
1976	25	99	
1977	19	51	
1978	22	41	
1979	23	46	
1980	28	42	
1981	7	26	
1982	13	30	
1983	17	21	
1984	39	48	
1985	29	49	
1986	18	71	
1987	30	80	
1988	29	81	
1989	14	46	
1990	28	64	
1991	43	39	
1992	33	38	
1993	40	31	
1994	62	43	
1995	21	74	
1996	37	57	
1997	41	62	
1998	54	43	
1999	51	52	
2000	63	74	
2001	54	24	
2002	132	55	
2003	105	84	
2004	86	186	
2005	158	24	
2006	135	90	
2007	170	163	
2008	206	178	
2009	149	124	
2010	308	171	
2011	199	144	
2012	229	234	
2013	205	259	
2014	278	133	
2015	241	166	
2016	350	253	
2017	217	411	
2018	137	347	
