YEAR	C0017916	C0917783	
1946	2	1	
1947	5	3	
1948	6	2	
1949	5	2	
1950	9	4	
1951	8	6	
1952	10	3	
1953	8	4	
1954	15	6	
1955	23	13	
1956	26	18	
1957	35	8	
1958	30	7	
1959	33	9	
1960	39	8	
1961	43	6	
1962	52	19	
1963	45	9	
1964	39	12	
1965	14	3	
1966	0	0	
1967	0	0	
1968	1	0	
1969	0	0	
1970	0	0	
1971	27	0	
1972	96	0	
1973	121	12	
1974	90	0	
1975	376	0	
1976	424	0	
1977	360	0	
1978	334	0	
1979	288	0	
1980	279	0	
1981	227	0	
1982	302	0	
1983	449	0	
1984	264	0	
1985	316	0	
1986	395	0	
1987	334	0	
1988	270	0	
1989	342	0	
1990	262	0	
1991	197	0	
1992	239	0	
1993	235	0	
1994	131	0	
1995	193	0	
1996	172	0	
1997	108	0	
1998	107	0	
1999	135	2	
2000	132	0	
2001	118	6	
2002	6	34	
2003	6	29	
2004	38	14	
2005	143	27	
2006	29	28	
2007	35	45	
2008	32	23	
2009	34	32	
2010	30	14	
2011	33	18	
2012	30	15	
2013	36	16	
2014	149	17	
2015	298	8	
2016	86	10	
2017	128	1	
2018	9	11	
