YEAR	C0032821	C0162800	
1945	10	0	
1946	65	0	
1947	109	0	
1948	78	1	
1949	115	0	
1950	263	0	
1951	267	0	
1952	286	0	
1953	348	1	
1954	375	1	
1955	386	0	
1956	292	1	
1957	396	2	
1958	404	1	
1959	410	3	
1960	372	1	
1961	419	1	
1962	447	2	
1963	511	1	
1964	617	1	
1965	589	1	
1966	748	0	
1967	862	0	
1968	864	0	
1969	1020	0	
1970	991	0	
1971	1127	0	
1972	1319	0	
1973	1197	0	
1974	1219	0	
1975	3183	0	
1976	3017	0	
1977	2638	0	
1978	2478	0	
1979	2394	0	
1980	2557	0	
1981	3072	0	
1982	3154	0	
1983	3207	0	
1984	3824	0	
1985	4110	0	
1986	4025	0	
1987	3866	0	
1988	3350	0	
1989	3313	0	
1990	3777	1	
1991	3743	0	
1992	3243	45	
1993	2985	86	
1994	2680	149	
1995	2421	82	
1996	2268	62	
1997	3775	78	
1998	3893	166	
1999	4384	145	
2000	5322	218	
2001	4508	122	
2002	3226	127	
2003	3213	150	
2004	4587	120	
2005	4254	120	
2006	4392	231	
2007	5048	85	
2008	5228	141	
2009	4431	317	
2010	6436	304	
2011	6247	421	
2012	9015	429	
2013	11294	671	
2014	12198	817	
2015	13224	591	
2016	11882	1389	
2017	10674	993	
2018	4041	761	
2019	16	0	
