YEAR	C0035335	C0035930	
1946	2	0	
1947	5	0	
1948	5	0	
1949	5	0	
1950	7	0	
1951	10	9	
1952	12	3	
1953	10	6	
1954	9	6	
1955	11	5	
1956	12	6	
1957	25	7	
1958	14	8	
1959	10	9	
1960	14	5	
1961	10	10	
1962	19	15	
1963	19	12	
1964	28	14	
1965	22	25	
1966	42	40	
1967	25	21	
1968	37	27	
1969	37	31	
1970	28	15	
1971	34	57	
1972	37	42	
1973	40	44	
1974	54	52	
1975	101	97	
1976	103	77	
1977	145	83	
1978	114	42	
1979	158	73	
1980	159	68	
1981	148	103	
1982	272	174	
1983	297	111	
1984	322	130	
1985	269	150	
1986	324	115	
1987	417	86	
1988	439	115	
1989	705	92	
1990	635	145	
1991	469	60	
1992	455	73	
1993	527	69	
1994	440	94	
1995	385	47	
1996	496	38	
1997	476	83	
1998	496	73	
1999	437	107	
2000	380	120	
2001	504	97	
2002	556	289	
2003	551	137	
2004	667	159	
2005	910	69	
2006	1052	78	
2007	957	55	
2008	598	107	
2009	1040	48	
2010	1313	61	
2011	1364	166	
2012	2530	191	
2013	2423	106	
2014	2509	255	
2015	3540	101	
2016	3801	86	
2017	3523	101	
2018	1271	42	
