YEAR	C1175175	C1175743	
1953	1	1	
1954	0	0	
1955	0	0	
1956	0	0	
1957	0	0	
1958	0	0	
1959	0	0	
1960	0	0	
1961	0	0	
1962	0	0	
1963	0	0	
1964	0	0	
1965	0	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	0	
1976	0	0	
1977	0	0	
1978	0	0	
1979	0	0	
1980	0	0	
1981	0	0	
1982	0	0	
1983	0	0	
1984	0	0	
1985	0	0	
1986	0	0	
1987	0	0	
1988	0	0	
1989	0	0	
1990	0	0	
1991	0	0	
1992	0	0	
1993	0	0	
1994	0	0	
1995	0	0	
1996	0	0	
1997	0	0	
1998	0	0	
1999	0	0	
2000	0	0	
2001	0	0	
2002	3	1	
2003	3992	1622	
2004	8311	4960	
2005	5421	4685	
2006	3096	2878	
2007	1931	1895	
2008	1448	1726	
2009	1564	1574	
2010	1827	1815	
2011	834	1313	
2012	927	1451	
2013	453	722	
2014	892	1468	
2015	718	1001	
2016	981	1502	
2017	605	629	
2018	73	91	
