YEAR	C0036319	C0036330	
1945	2	1	
1946	5	6	
1947	10	6	
1948	7	7	
1949	15	6	
1950	16	8	
1951	11	6	
1952	16	13	
1953	25	12	
1954	21	10	
1955	22	10	
1956	27	18	
1957	22	19	
1958	14	17	
1959	30	29	
1960	17	9	
1961	25	12	
1962	28	16	
1963	38	17	
1964	30	14	
1965	16	10	
1966	0	0	
1967	1	3	
1968	3	0	
1969	0	0	
1970	3	0	
1971	42	0	
1972	95	0	
1973	93	0	
1974	110	0	
1975	142	0	
1976	160	0	
1977	209	2	
1978	230	2	
1979	201	0	
1980	242	0	
1981	242	0	
1982	294	0	
1983	286	0	
1984	292	0	
1985	314	88	
1986	292	257	
1987	306	277	
1988	230	219	
1989	290	275	
1990	213	238	
1991	237	210	
1992	290	264	
1993	234	212	
1994	225	208	
1995	243	199	
1996	257	257	
1997	250	241	
1998	233	278	
1999	250	222	
2000	223	216	
2001	248	209	
2002	279	215	
2003	240	197	
2004	273	226	
2005	232	187	
2006	300	205	
2007	278	187	
2008	276	227	
2009	363	253	
2010	330	262	
2011	369	216	
2012	355	236	
2013	473	321	
2014	502	427	
2015	480	370	
2016	429	349	
2017	442	380	
2018	165	145	
