YEAR	C0032143	C0039654	
1962	1	0	
1963	0	0	
1964	1	0	
1965	0	0	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	0	
1970	0	0	
1971	0	0	
1972	0	0	
1973	0	0	
1974	0	0	
1975	0	35	
1976	0	69	
1977	0	76	
1978	0	182	
1979	0	280	
1980	0	557	
1981	0	649	
1982	1	888	
1983	4	1341	
1984	1	1523	
1985	131	2351	
1986	367	2762	
1987	644	3106	
1988	875	3419	
1989	986	3589	
1990	1261	3650	
1991	1081	3651	
1992	1308	3530	
1993	1126	3707	
1994	1120	3540	
1995	1283	2906	
1996	1153	2900	
1997	1521	3187	
1998	1216	2898	
1999	1235	2625	
2000	1570	2508	
2001	1462	2222	
2002	1275	1571	
2003	1195	1546	
2004	1293	1499	
2005	1410	1395	
2006	1058	1358	
2007	1390	1203	
2008	1513	1494	
2009	1631	1434	
2010	2008	1717	
2011	2126	2285	
2012	2039	2438	
2013	2567	2903	
2014	3608	2710	
2015	3792	3209	
2016	2819	2262	
2017	3322	1628	
2018	1443	782	
