YEAR	C0027708	C0148873	
1946	9	0	
1947	9	0	
1948	11	0	
1949	13	0	
1950	10	0	
1951	10	0	
1952	12	0	
1953	20	0	
1954	15	0	
1955	17	0	
1956	17	0	
1957	16	0	
1958	12	0	
1959	21	0	
1960	21	0	
1961	25	0	
1962	23	0	
1963	24	0	
1964	34	0	
1965	35	0	
1966	29	0	
1967	35	0	
1968	53	0	
1969	40	0	
1970	54	0	
1971	52	0	
1972	53	0	
1973	71	0	
1974	72	0	
1975	156	0	
1976	195	0	
1977	150	0	
1978	156	0	
1979	188	0	
1980	201	0	
1981	263	0	
1982	301	0	
1983	248	0	
1984	334	0	
1985	295	0	
1986	242	0	
1987	353	0	
1988	370	0	
1989	472	0	
1990	464	0	
1991	546	4	
1992	666	47	
1993	674	139	
1994	603	126	
1995	605	313	
1996	647	310	
1997	527	269	
1998	569	420	
1999	573	490	
2000	529	324	
2001	565	378	
2002	395	469	
2003	505	484	
2004	594	561	
2005	489	449	
2006	631	594	
2007	557	858	
2008	846	1437	
2009	521	979	
2010	701	1486	
2011	757	1262	
2012	812	995	
2013	662	1902	
2014	1262	3049	
2015	1361	2897	
2016	989	1484	
2017	1198	2162	
2018	452	181	
