YEAR	C0022171	C0812425	
1945	1	0	
1946	0	0	
1947	0	1	
1948	0	0	
1949	4	1	
1950	1	0	
1951	6	2	
1952	6	3	
1953	2	0	
1954	2	0	
1955	3	0	
1956	5	2	
1957	2	0	
1958	0	1	
1959	1	1	
1960	2	1	
1961	1	1	
1962	0	6	
1963	5	9	
1964	1	9	
1965	1	2	
1966	0	0	
1967	0	0	
1968	0	0	
1969	0	3	
1970	0	0	
1971	0	1	
1972	0	0	
1973	0	0	
1974	3	0	
1975	40	31	
1976	58	61	
1977	66	68	
1978	98	53	
1979	93	70	
1980	154	53	
1981	178	63	
1982	205	61	
1983	230	87	
1984	281	101	
1985	279	88	
1986	311	106	
1987	271	89	
1988	264	80	
1989	277	69	
1990	286	100	
1991	276	153	
1992	299	160	
1993	263	190	
1994	201	202	
1995	224	140	
1996	212	128	
1997	200	127	
1998	150	187	
1999	152	175	
2000	131	151	
2001	133	157	
2002	121	131	
2003	161	104	
2004	226	104	
2005	292	120	
2006	145	106	
2007	380	95	
2008	212	87	
2009	188	116	
2010	248	123	
2011	285	89	
2012	277	183	
2013	227	257	
2014	162	204	
2015	380	253	
2016	263	279	
2017	254	223	
2018	38	63	
