YEAR	C0013710	C0029974	
1945	8	2	
1946	64	33	
1947	57	17	
1948	40	43	
1949	37	24	
1950	38	26	
1951	61	28	
1952	73	31	
1953	53	25	
1954	53	46	
1955	56	55	
1956	53	46	
1957	34	53	
1958	64	49	
1959	56	81	
1960	38	68	
1961	54	74	
1962	73	96	
1963	44	101	
1964	50	95	
1965	100	136	
1966	65	126	
1967	65	141	
1968	75	164	
1969	124	211	
1970	55	172	
1971	66	200	
1972	80	262	
1973	83	239	
1974	73	339	
1975	388	727	
1976	322	805	
1977	215	593	
1978	196	519	
1979	216	662	
1980	190	671	
1981	191	651	
1982	164	705	
1983	250	903	
1984	231	508	
1985	217	533	
1986	188	533	
1987	211	594	
1988	218	545	
1989	291	606	
1990	309	566	
1991	542	499	
1992	418	516	
1993	499	454	
1994	444	403	
1995	484	439	
1996	603	583	
1997	432	805	
1998	503	734	
1999	580	530	
2000	670	890	
2001	1022	806	
2002	835	681	
2003	696	881	
2004	1039	895	
2005	775	1174	
2006	817	1249	
2007	894	1531	
2008	1153	1228	
2009	1457	1899	
2010	1853	1989	
2011	1657	2867	
2012	1962	3584	
2013	2568	3691	
2014	2538	4626	
2015	4686	4423	
2016	2819	3137	
2017	3420	2925	
2018	1656	1380	
2019	8	1	
