YEAR	C0020259	C0023443	
1945	1	0	
1946	8	0	
1947	14	0	
1948	9	0	
1949	12	0	
1950	19	0	
1951	14	0	
1952	24	0	
1953	16	0	
1954	17	1	
1955	21	2	
1956	24	1	
1957	27	0	
1958	13	1	
1959	14	0	
1960	16	0	
1961	9	0	
1962	20	2	
1963	24	3	
1964	27	0	
1965	20	2	
1966	13	0	
1967	22	0	
1968	16	0	
1969	27	0	
1970	24	0	
1971	41	0	
1972	30	0	
1973	16	0	
1974	42	0	
1975	129	0	
1976	80	1	
1977	109	45	
1978	78	103	
1979	116	175	
1980	134	126	
1981	105	133	
1982	109	180	
1983	127	201	
1984	143	309	
1985	122	275	
1986	137	344	
1987	161	454	
1988	159	305	
1989	184	285	
1990	162	350	
1991	158	251	
1992	175	312	
1993	206	287	
1994	198	449	
1995	189	209	
1996	170	180	
1997	147	206	
1998	153	179	
1999	115	249	
2000	123	189	
2001	206	168	
2002	273	110	
2003	202	239	
2004	245	297	
2005	298	139	
2006	355	178	
2007	277	129	
2008	372	160	
2009	343	166	
2010	378	167	
2011	363	327	
2012	321	264	
2013	536	155	
2014	470	399	
2015	426	507	
2016	423	208	
2017	545	384	
2018	136	72	
