YEAR	C0021246	C0021247	
1946	0	1	
1947	0	1	
1949	0	11	
1950	0	9	
1951	0	13	
1952	0	13	
1953	0	12	
1954	0	11	
1955	0	13	
1956	0	13	
1957	0	9	
1958	0	15	
1959	0	23	
1960	0	15	
1961	0	19	
1962	0	14	
1963	4	7	
1964	41	14	
1965	50	9	
1966	60	3	
1967	60	15	
1968	75	10	
1969	43	9	
1970	39	22	
1971	74	16	
1972	89	6	
1973	108	12	
1974	146	32	
1975	697	34	
1976	671	42	
1977	792	41	
1978	998	54	
1979	1012	40	
1980	1344	44	
1981	1339	56	
1982	1555	41	
1983	1803	45	
1984	1696	49	
1985	2060	90	
1986	1794	42	
1987	1777	41	
1988	1746	54	
1989	2065	74	
1990	1935	63	
1991	1954	94	
1992	1800	84	
1993	1896	109	
1994	1613	96	
1995	1594	95	
1996	1502	110	
1997	1463	128	
1998	1343	94	
1999	1532	143	
2000	1236	135	
2001	1430	185	
2002	1278	203	
2003	1125	194	
2004	1139	174	
2005	1123	265	
2006	1079	351	
2007	1313	339	
2008	1210	593	
2009	1224	522	
2010	1507	753	
2011	1173	917	
2012	1558	948	
2013	1731	1401	
2014	1471	1569	
2015	1972	2015	
2016	1477	1886	
2017	1187	2408	
2018	669	1391	
