YEAR	C0006147	C0028661	
1945	18	17	
1946	79	74	
1947	92	71	
1948	106	74	
1949	54	45	
1950	208	94	
1951	170	129	
1952	154	89	
1953	110	69	
1954	122	73	
1955	110	71	
1956	99	51	
1957	97	58	
1958	105	54	
1959	107	34	
1960	142	40	
1961	135	56	
1962	120	60	
1963	127	53	
1964	154	57	
1965	83	52	
1966	25	136	
1967	41	88	
1968	55	140	
1969	46	135	
1970	40	170	
1971	44	133	
1972	70	117	
1973	29	111	
1974	58	170	
1975	236	246	
1976	248	303	
1977	203	231	
1978	307	259	
1979	432	246	
1980	379	265	
1981	379	288	
1982	504	236	
1983	587	326	
1984	668	320	
1985	671	300	
1986	688	396	
1987	607	442	
1988	697	386	
1989	1035	726	
1990	1085	593	
1991	967	815	
1992	1255	672	
1993	1281	757	
1994	1369	823	
1995	1401	796	
1996	1332	792	
1997	1681	1081	
1998	1591	810	
1999	1770	916	
2000	2194	843	
2001	2304	1007	
2002	2286	1205	
2003	2936	1056	
2004	2793	1471	
2005	2975	1522	
2006	3347	1753	
2007	4115	2135	
2008	4326	2780	
2009	4429	3434	
2010	5176	3994	
2011	6128	4543	
2012	8057	4991	
2013	10243	6112	
2014	11331	9227	
2015	13738	10509	
2016	14002	11905	
2017	11660	10836	
2018	4990	3603	
