YEAR	C0031642	C0135981	
1950	2	0	
1954	1	0	
1955	1	0	
1956	2	0	
1957	1	0	
1960	1	0	
1962	3	0	
1963	2	0	
1964	2	0	
1965	1	0	
1969	1	0	
1970	1	0	
1971	38	0	
1972	75	0	
1973	61	0	
1974	57	0	
1975	104	0	
1976	99	0	
1977	142	0	
1978	96	0	
1979	61	0	
1980	67	17	
1981	92	36	
1982	54	66	
1983	126	93	
1984	112	111	
1985	48	111	
1986	78	77	
1987	62	53	
1988	94	108	
1989	70	109	
1990	98	88	
1991	46	95	
1992	105	26	
1993	55	63	
1994	33	51	
1995	65	30	
1996	88	28	
1997	104	37	
1998	41	16	
1999	26	19	
2000	60	6	
2001	87	38	
2002	63	9	
2003	98	10	
2004	95	19	
2005	109	2	
2006	59	11	
2007	79	3	
2008	37	9	
2009	209	0	
2010	102	0	
2011	193	23	
2012	305	4	
2013	130	0	
2014	379	0	
2015	211	5	
2016	29	0	
2017	151	8	
2018	15	0	
