YEAR	C0026780	C0030583	
1945	6	5	
1946	49	7	
1947	24	2	
1948	38	6	
1949	40	8	
1950	42	34	
1951	55	21	
1952	79	16	
1953	79	24	
1954	68	16	
1955	43	18	
1956	48	15	
1957	75	12	
1958	67	14	
1959	41	12	
1960	37	13	
1961	32	17	
1962	39	14	
1963	31	16	
1964	53	17	
1965	39	22	
1966	40	9	
1967	52	15	
1968	75	23	
1969	76	20	
1970	77	21	
1971	43	13	
1972	51	17	
1973	57	19	
1974	51	12	
1975	102	13	
1976	101	29	
1977	98	17	
1978	119	30	
1979	101	29	
1980	98	31	
1981	88	20	
1982	142	26	
1983	87	23	
1984	101	23	
1985	145	21	
1986	191	25	
1987	114	22	
1988	167	33	
1989	143	28	
1990	153	38	
1991	114	42	
1992	87	45	
1993	93	59	
1994	113	34	
1995	172	39	
1996	92	43	
1997	144	24	
1998	142	20	
1999	174	23	
2000	164	20	
2001	130	28	
2002	190	24	
2003	162	29	
2004	174	43	
2005	206	70	
2006	345	44	
2007	326	32	
2008	365	51	
2009	324	48	
2010	344	45	
2011	421	50	
2012	553	60	
2013	591	54	
2014	647	49	
2015	718	46	
2016	1000	102	
2017	925	75	
2018	421	29	
