YEAR	C0011389	C0333463	
1946	1	0	
1947	3	3	
1948	3	0	
1949	0	1	
1950	1	3	
1951	3	13	
1952	0	4	
1953	1	5	
1954	1	4	
1955	1	5	
1956	6	8	
1957	3	7	
1958	0	7	
1959	3	9	
1960	0	4	
1961	1	17	
1962	4	9	
1963	3	3	
1964	10	17	
1965	32	4	
1966	29	0	
1967	47	0	
1968	50	0	
1969	83	0	
1970	89	0	
1971	111	0	
1972	165	0	
1973	161	0	
1974	175	0	
1975	486	0	
1976	428	0	
1977	501	0	
1978	448	0	
1979	465	0	
1980	475	0	
1981	408	0	
1982	469	0	
1983	428	0	
1984	459	0	
1985	560	0	
1986	481	0	
1987	496	0	
1988	533	0	
1989	903	0	
1990	1109	0	
1991	887	0	
1992	954	0	
1993	775	0	
1994	777	0	
1995	884	0	
1996	866	4	
1997	851	139	
1998	776	328	
1999	628	238	
2000	949	322	
2001	1020	410	
2002	1036	280	
2003	878	458	
2004	939	434	
2005	963	483	
2006	982	471	
2007	852	471	
2008	899	944	
2009	1027	794	
2010	1179	959	
2011	1282	1381	
2012	1261	1904	
2013	1415	2157	
2014	2135	2686	
2015	1899	2629	
2016	1843	3085	
2017	1292	2248	
2018	326	568	
