YEAR	C0162731	C0242767	
1945	0	1	
1946	0	3	
1947	1	4	
1948	0	2	
1949	0	1	
1950	0	6	
1951	2	6	
1952	7	3	
1953	4	3	
1954	1	4	
1955	1	0	
1956	5	5	
1957	3	4	
1958	7	3	
1959	6	4	
1960	5	0	
1961	7	3	
1962	9	4	
1963	15	1	
1964	30	0	
1965	13	0	
1974	0	4	
1991	0	2	
1992	22	0	
1993	29	0	
1994	35	15	
1995	23	57	
1996	33	41	
1997	51	46	
1998	28	54	
1999	11	77	
2000	33	199	
2001	30	309	
2002	15	290	
2003	17	355	
2004	40	379	
2005	17	405	
2006	22	526	
2007	28	607	
2008	44	725	
2009	100	874	
2010	62	1285	
2011	92	1215	
2012	146	1787	
2013	123	2643	
2014	139	2851	
2015	121	3580	
2016	107	3387	
2017	152	2460	
2018	9	1230	
