YEAR	C0039371	C0144576	
1950	5	0	
1951	4	0	
1952	4	0	
1953	4	0	
1954	3	0	
1955	2	0	
1956	2	0	
1957	3	0	
1958	1	0	
1961	1	0	
1962	1	0	
1963	2	0	
1964	2	0	
1965	8	0	
1975	6	0	
1976	11	0	
1977	13	0	
1978	28	0	
1979	38	0	
1980	51	0	
1981	26	0	
1982	63	0	
1983	47	8	
1984	67	0	
1985	64	10	
1986	91	0	
1987	91	3	
1988	102	0	
1989	96	2	
1990	112	0	
1991	124	0	
1992	188	0	
1993	121	159	
1994	153	769	
1995	262	1354	
1996	83	1546	
1997	106	2239	
1998	89	1785	
1999	67	2326	
2000	103	2182	
2001	78	2433	
2002	135	2511	
2003	197	2891	
2004	169	3325	
2005	197	3661	
2006	262	3873	
2007	246	3563	
2008	296	3624	
2009	389	4126	
2010	734	4624	
2011	1052	5117	
2012	1125	6906	
2013	1229	7447	
2014	1378	8651	
2015	1844	10788	
2016	2453	9294	
2017	2488	9171	
2018	756	2985	
2019	0	1	
