YEAR	C0004903	C0175702	
1981	2	0	
1982	6	0	
1983	21	0	
1984	12	0	
1985	34	0	
1986	51	0	
1987	6	0	
1988	45	0	
1989	62	0	
1990	42	0	
1991	52	0	
1992	67	0	
1993	76	0	
1994	96	0	
1995	76	33	
1996	98	157	
1997	120	168	
1998	71	219	
1999	116	217	
2000	177	202	
2001	108	228	
2002	73	213	
2003	80	290	
2004	79	261	
2005	196	350	
2006	101	325	
2007	112	400	
2008	78	315	
2009	185	437	
2010	234	814	
2011	266	537	
2012	361	1036	
2013	312	728	
2014	246	770	
2015	209	1091	
2016	427	768	
2017	137	849	
2018	45	160	
