YEAR	C0019829	C0036202	
1945	8	16	
1946	22	54	
1947	36	39	
1948	43	65	
1949	58	51	
1950	109	115	
1951	138	130	
1952	116	130	
1953	130	137	
1954	141	131	
1955	132	151	
1956	141	143	
1957	143	156	
1958	125	166	
1959	146	157	
1960	131	145	
1961	123	199	
1962	128	165	
1963	150	160	
1964	161	283	
1965	161	146	
1966	247	150	
1967	210	203	
1968	241	203	
1969	221	199	
1970	254	182	
1971	310	202	
1972	388	200	
1973	578	209	
1974	428	173	
1975	931	367	
1976	914	638	
1977	961	678	
1978	987	424	
1979	887	559	
1980	934	542	
1981	967	598	
1982	958	552	
1983	987	730	
1984	1073	801	
1985	1048	902	
1986	1218	946	
1987	1097	824	
1988	1196	918	
1989	1316	897	
1990	1417	1069	
1991	1561	847	
1992	1810	899	
1993	1661	760	
1994	1610	871	
1995	1644	721	
1996	1850	765	
1997	1802	820	
1998	1551	808	
1999	1637	845	
2000	1727	921	
2001	1672	873	
2002	1957	1031	
2003	2038	887	
2004	1834	961	
2005	1838	1220	
2006	2165	999	
2007	2094	1545	
2008	2203	1258	
2009	2189	1273	
2010	2122	1472	
2011	2076	1708	
2012	2975	2115	
2013	3331	2460	
2014	3190	2528	
2015	3764	2636	
2016	4007	2999	
2017	3572	2623	
2018	998	949	
