WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
PCP	1	C0030855	0	1951
PCP	1	C0031381	1	1959
CCl4	1	C0007022	0	1945
CCl4	1	C0209338	1	1991
Cold	1	C0009264	0	1945
Cold	1	C0009443	0	1945
Cold	1	C0024117	1	1959
PCB	0	C0033223	0	1970
PCB	0	C0032447	0	1971
Yellow Fever	0	C0043395	0	1945
Yellow Fever	0	C0301508	0	1945
CCD	1	C0008928	0	1946
CCD	1	C0751951	1	1961
BSA	1	C0036774	0	1947
BSA	1	C0005902	1	1952
GAG	1	C0017973	0	1947
GAG	1	C0017346	1	1982
Pharmaceutical	1	C0031336	0	1945
Pharmaceutical	1	C0013058	1	1963
ERUPTION	0	C0015230	0	1944
ERUPTION	0	C1533692	0	1944
CAM	1	C0178551	0	1945
CAM	1	C0007578	1	1981
Exercises	0	C0015259	0	1945
Exercises	0	C0452240	0	1945
Language	1	C0023008	0	1945
Language	1	C0033348	1	1958
EMS	1	C0013961	0	1945
EMS	1	C0015063	1	1959
TNC	1	C0077400	0	1980
TNC	1	C0076088	1	1985
SCD	1	C0002895	0	1945
SCD	1	C0085298	1	1950
Synapsis	0	C0039062	0	1945
Synapsis	0	C0598501	0	1945
EM	1	C0026019	0	1945
EM	1	C0014921	1	1975
Sodium	0	C0037473	0	1945
Sodium	0	C0037570	0	1945
TNT	1	C0041070	0	1945
TNT	1	C0077404	1	1981
BR	0	C0006137	0	1945
BR	0	C0006222	0	1945
Plague	0	C0032064	0	1944
Plague	0	C0032066	0	1946
Cilia	0	C0015422	0	1945
Cilia	0	C0008778	0	1946
DI	0	C0011848	0	1945
DI	0	C0032246	0	1946
Radiation	0	C0851346	0	1944
Radiation	0	C1522449	0	1946
CP	0	C0007789	0	1945
CP	0	C0008925	0	1945
CP	0	C0033477	0	1946
CIS	1	C0007099	0	1946
CIS	1	C0162854	1	1992
PHA	0	C0031858	0	1949
PHA	0	C0030779	0	1950
IP	1	C0021171	0	1947
IP	1	C0021069	1	1958
Familial Adenomatous Polyposis	1	C0032580	0	1947
Familial Adenomatous Polyposis	1	C0162832	1	1991
Leishmaniasis	0	C0023281	0	1945
Leishmaniasis	0	C1548483	0	1947
CDR	1	C0011485	0	1958
CDR	1	C0021024	1	1998
Platelet	0	C0005821	0	1945
Platelet	0	C0032181	0	1945
Crack	1	C0040441	0	1948
Crack	1	C0085163	1	1990
RA	0	C0003873	0	1945
RA	0	C0034625	0	1945
RA	0	C0002893	0	1946
Nurse	0	C0006147	0	1945
Nurse	0	C0028661	0	1945
Lactation	0	C0006147	0	1945
Lactation	0	C0022925	0	1945
IA	0	C0021487	0	1945
IA	0	C0022037	0	1946
Haemophilus ducreyi	0	C0007947	0	1945
Haemophilus ducreyi	0	C0018481	0	1945
rDNA	0	C0012933	0	1974
rDNA	0	C0012931	0	1976
Strep	0	C0038395	0	1945
Strep	0	C0038402	0	1945
CDA	0	C0002876	0	1979
CDA	0	C0092801	0	1983
HIV	0	C0019682	0	1985
HIV	0	C0019693	0	1987
OH	0	C0028905	0	1945
OH	0	C0063146	0	1946
lymphogranulomatosis	0	C0019829	0	1945
lymphogranulomatosis	0	C0036202	0	1945
TEM	1	C0040975	0	1950
TEM	1	C0678118	1	1965
OCD	0	C0029421	0	1946
OCD	0	C0028768	0	1949
PCA	1	C0149576	0	1945
PCA	1	C0030625	1	1951
PCA	1	C0429865	1	1960
PCA	1	C0030131	1	1974
PCA	1	C0078944	1	1989
Schistosoma mansoni	0	C0036319	0	1945
Schistosoma mansoni	0	C0036330	0	1945
HPS	1	C0242994	0	1994
HPS	1	C0079504	1	2000
Staph	0	C0038160	0	1945
Staph	0	C0038170	0	1945
LABOR	0	C0022864	0	1945
LABOR	0	C0043227	0	1945
CH	0	C0008115	0	1945
CH	0	C0039021	0	1946
Epi	1	C0014563	0	1945
Epi	1	C0014582	1	1980
Borrelia	1	C0006033	0	1946
Borrelia	1	C0024198	1	1983
Tax	1	C0039371	0	1950
Tax	1	C0144576	1	1983
Follicle	0	C0018120	0	1945
Follicle	0	C0221971	0	1945
HCl	1	C0020259	0	1945
HCl	1	C0023443	1	1954
Gas	0	C0016204	0	1945
Gas	0	C0017110	0	1945
PEP	1	C0031642	0	1950
PEP	1	C0135981	1	1980
Torula	0	C0010414	0	1945
Torula	0	C0010415	0	1945
TPA	1	C0032143	0	1962
TPA	1	C0039654	1	1975
Eels	1	C0013671	0	1946
Eels	1	C0677644	1	2004
Fe	0	C0302583	0	1945
Fe	0	C0376520	0	1946
Phosphorus	0	C0031705	0	1945
Phosphorus	0	C0080014	0	1945
HR	1	C0018810	0	1945
HR	1	C0010343	1	1950
pI	0	C0022171	0	1945
