YEAR	C0023434	C2004493	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	0.000000	
1975	0.000000	0.000000	
1976	1.000000	0.000000	
1977	0.000000	0.000000	
1978	1.000000	0.000000	
1979	0.000000	0.000000	
1980	1.000000	0.000000	
1981	0.000000	0.000000	
1982	0.000000	0.000000	
1983	0.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	0.989627	0.010373	
1989	0.990315	0.009685	
1990	0.992357	0.007643	
1991	0.994236	0.005764	
1992	0.990066	0.009934	
1993	0.988626	0.011374	
1994	0.990958	0.009042	
1995	0.988433	0.011567	
1996	0.991509	0.008491	
1997	0.990491	0.009509	
1998	0.992049	0.007951	
1999	0.995301	0.004699	
2000	0.993012	0.006988	
2001	0.996405	0.003595	
2002	0.997247	0.002753	
2003	0.993980	0.006020	
2004	0.996436	0.003564	
2005	0.997674	0.002326	
2006	0.998578	0.001422	
2007	0.997947	0.002053	
2008	0.996853	0.003147	
2009	0.999055	0.000945	
2010	0.998377	0.001623	
2011	0.992250	0.007750	
2012	0.997440	0.002560	
2013	0.996333	0.003667	
2014	0.998318	0.001682	
2015	0.999317	0.000683	
2016	0.998336	0.001664	
2017	0.999023	0.000977	
2018	0.999436	0.000564	
